Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,BAJFINANCE,2021-06-24,5661.8,5855.05,5644.8,5816.7,5809.05,5816.7,31168,22487874000.0,4115000,-19625,5784.8,0.1843,31.899999999999636
2021-06-02,BAJFINANCE,2021-06-24,5788.95,5879.0,5767.0,5839.5,5838.75,5839.5,18957,13810784000.0,4017875,-97125,5808.65,0.2089,30.850000000000364
2021-06-03,BAJFINANCE,2021-06-24,5865.0,5950.0,5802.5,5920.2,5912.0,5920.2,18616,13711193000.0,3866125,-151750,5901.5,0.16899999999999998,18.699999999999818
2021-06-04,BAJFINANCE,2021-06-24,5943.55,6028.95,5914.9,6005.3,6004.5,6005.3,18670,13946856000.0,3686250,-179875,5993.45,0.22160000000000002,11.850000000000364
2021-06-07,BAJFINANCE,2021-06-24,5885.55,5885.55,5693.65,5760.6,5755.9,5760.6,32185,23164853000.0,3446125,-240125,5729.75,0.3443,30.850000000000364
2021-06-08,BAJFINANCE,2021-06-24,5762.9,5835.0,5744.75,5783.3,5778.1,5783.3,15434,11168504000.0,3524250,78125,5755.4,0.24739999999999998,27.900000000000546
2021-06-09,BAJFINANCE,2021-06-24,5809.95,5814.75,5640.3,5693.7,5691.0,5693.7,17270,12369131000.0,3725125,200875,5674.5,0.2483,19.199999999999818
2021-06-10,BAJFINANCE,2021-06-24,5716.2,6140.0,5690.85,6114.6,6137.0,6114.6,46602,34713291000.0,4010000,284875,6086.4,0.20620000000000002,28.200000000000728
2021-06-11,BAJFINANCE,2021-06-24,6137.0,6249.0,6066.1,6128.45,6127.0,6128.45,29447,22687507000.0,3766375,-243625,6120.0,0.1159,8.449999999999818
2021-06-14,BAJFINANCE,2021-06-24,6083.9,6255.0,5990.85,6201.3,6204.9,6201.3,23100,17760279000.0,3509000,-257375,6194.15,0.1091,7.150000000000546
2021-06-15,BAJFINANCE,2021-06-24,6216.4,6250.0,6163.0,6182.5,6181.0,6182.5,9397,7282477000.0,3507625,-1375,6161.15,0.2511,21.350000000000364
2021-06-16,BAJFINANCE,2021-06-24,6155.0,6182.5,6086.05,6106.0,6116.15,6106.0,10674,8176650999.999999,3433250,-74375,6081.6,0.3506,24.399999999999636
2021-06-17,BAJFINANCE,2021-06-24,5974.95,6135.85,5950.0,6066.25,6055.0,6066.25,13031,9886503000.0,3451125,17875,6050.25,0.2666,16.0
2021-06-18,BAJFINANCE,2021-06-24,6100.0,6164.9,5976.6,6101.2,6100.0,6101.2,18609,14113978000.0,3354375,-96750,6087.05,0.3518,14.149999999999636
2021-06-21,BAJFINANCE,2021-06-24,5990.0,6154.4,5990.0,6134.1,6134.1,6134.1,14011,10698439000.0,2944375,-410000,6116.0,0.17850000000000002,18.100000000000364
2021-06-22,BAJFINANCE,2021-06-24,6168.8,6202.65,6013.7,6028.25,6024.65,6028.25,17231,13094351000.0,2034500,-909875,6016.8,0.3322,11.449999999999818
2021-06-23,BAJFINANCE,2021-06-24,6052.9,6120.0,6001.55,6016.35,6018.05,6016.35,15525,11778611000.0,1033000,-1001500,6015.6,0.1351,0.75
