Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,DRREDDY,2021-06-24,5321.55,5353.3,5286.2,5335.05,5323.75,5335.05,6159,4099221000.0,2592625,-35500,5316.5,0.3536,18.550000000000182
2021-06-02,DRREDDY,2021-06-24,5321.3,5374.95,5306.0,5340.85,5336.15,5340.85,4778,3191008000.0,2575125,-17500,5312.35,0.4289,28.5
2021-06-03,DRREDDY,2021-06-24,5331.25,5370.0,5298.0,5310.55,5305.0,5310.55,4560,3038549000.0,2578625,3500,5282.55,0.5387,28.0
2021-06-04,DRREDDY,2021-06-24,5302.15,5313.5,5263.0,5282.2,5278.35,5282.2,3618,2390075000.0,2608375,29750,5255.0,0.4594,27.199999999999818
2021-06-07,DRREDDY,2021-06-24,5287.95,5293.0,5236.05,5245.3,5247.35,5245.3,4124,2708401000.0,2630125,21750,5219.2,0.5302,26.100000000000364
2021-06-08,DRREDDY,2021-06-24,5215.0,5305.5,5159.25,5289.0,5304.0,5289.0,8414,5502922000.0,2615250,-14875,5274.75,0.4654,14.25
2021-06-09,DRREDDY,2021-06-24,5295.05,5329.0,5225.0,5244.55,5246.95,5244.55,5769,3802666000.0000005,2610375,-4875,5222.8,0.35159999999999997,21.75
2021-06-10,DRREDDY,2021-06-24,5262.3,5314.55,5255.05,5298.6,5301.0,5298.6,4289,2837446000.0,2606625,-3750,5292.05,0.3833,6.550000000000182
2021-06-11,DRREDDY,2021-06-24,5315.25,5516.0,5300.0,5472.8,5483.0,5472.8,17240,11695396000.0,2643625,37000,5453.0,0.2614,19.800000000000182
2021-06-14,DRREDDY,2021-06-24,5469.95,5520.0,5380.15,5465.5,5463.95,5465.5,10404,7112207000.000001,2559500,-83875,5461.35,0.2956,4.149999999999636
2021-06-15,DRREDDY,2021-06-24,5478.4,5485.5,5412.05,5426.55,5429.35,5426.55,4700,3198884000.0,2501000,-58500,5410.85,0.43320000000000003,15.699999999999818
2021-06-16,DRREDDY,2021-06-24,5333.8,5459.8,5333.8,5403.8,5396.7,5403.8,6735,4562242000.0,2384875,-116125,5406.1,0.39270000000000005,-2.300000000000182
2021-06-17,DRREDDY,2021-06-24,5409.25,5418.6,5260.55,5303.1,5305.65,5303.1,7215,4824053000.0,2311750,-73125,5286.5,0.43420000000000003,16.600000000000364
2021-06-18,DRREDDY,2021-06-24,5334.8,5349.8,5238.0,5285.95,5295.8,5285.95,6757,4473290000.0,2149500,-162250,5283.9,0.4241,2.050000000000182
2021-06-21,DRREDDY,2021-06-24,5274.0,5293.85,5235.95,5280.75,5289.0,5280.75,6594,4334858000.0,1697625,-451875,5282.0,0.49840000000000007,-1.25
2021-06-22,DRREDDY,2021-06-24,5284.2,5315.25,5246.95,5306.0,5308.5,5306.0,8382,5535616000.0,1107375,-590250,5308.35,0.39549999999999996,-2.350000000000364
2021-06-23,DRREDDY,2021-06-24,5319.75,5347.8,5286.7,5298.1,5300.6,5298.1,6971,4633843000.0,519375,-588000,5299.35,0.3602,-1.25
