Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,GAIL,2021-06-24,161.4,162.0,158.3,160.95,160.5,160.95,2216,2167443000.0,29353200,-634400,160.45,0.2056,0.5
2021-06-02,GAIL,2021-06-24,162.8,163.9,158.15,159.7,160.0,159.7,2031,1993172000.0,29255600,-97600,158.85,0.2579,0.8499999999999943
2021-06-03,GAIL,2021-06-24,160.0,163.2,159.65,161.9,162.05,161.9,1927,1899068000.0,30634200,1378600,161.05,0.29850000000000004,0.8499999999999943
2021-06-04,GAIL,2021-06-24,162.5,165.6,161.15,162.9,162.65,162.9,2892,2880539000.0,32116500,1482300,162.0,0.2515,0.9000000000000057
2021-06-07,GAIL,2021-06-24,162.85,170.7,162.35,168.75,168.25,168.75,5193,5322773000.0,31012400,-1104100,168.35,0.3882,0.4000000000000057
2021-06-08,GAIL,2021-06-24,169.35,170.0,165.4,168.15,167.9,168.15,2490,2545430000.0,29749700,-1262700,167.8,0.425,0.3499999999999943
2021-06-09,GAIL,2021-06-24,169.0,170.8,158.4,163.25,163.55,163.25,9789,9836033000.0,31909100,2159400,162.4,0.1743,0.8499999999999943
2021-06-10,GAIL,2021-06-24,164.1,166.4,160.55,163.75,163.5,163.75,3929,3918553000.0,31024600,-884500,163.5,0.3568,0.25
2021-06-11,GAIL,2021-06-24,165.05,168.2,161.4,164.05,163.7,164.05,4232,4251861000.0,32744800,1720200,163.75,0.2936,0.30000000000001137
2021-06-14,GAIL,2021-06-24,164.4,164.55,160.2,163.85,163.7,163.85,2062,2046475999.9999998,32494700,-250100,163.15,0.40280000000000005,0.6999999999999886
2021-06-15,GAIL,2021-06-24,163.8,166.55,162.95,163.6,163.4,163.6,2670,2685883000.0,31951800,-542900,163.0,0.2908,0.5999999999999943
2021-06-16,GAIL,2021-06-24,163.4,166.25,161.7,162.35,162.1,162.35,2126,2123559000.0,31561400,-390400,161.75,0.3002,0.5999999999999943
2021-06-17,GAIL,2021-06-24,160.95,163.9,158.85,160.95,160.85,160.95,1684,1658100999.9999998,30713500,-847900,160.5,0.2256,0.44999999999998863
2021-06-18,GAIL,2021-06-24,161.0,161.55,152.55,154.9,155.05,154.9,2653,2513848000.0,28804200,-1909300,155.05,0.39670000000000005,-0.15000000000000568
2021-06-21,GAIL,2021-06-24,153.0,156.0,151.2,155.4,155.3,155.4,2933,2748976000.0,21301200,-7503000,155.25,0.34659999999999996,0.15000000000000568
2021-06-22,GAIL,2021-06-24,156.8,159.1,155.05,155.5,155.7,155.5,2392,2280907000.0,13249200,-8052000,155.3,0.2717,0.19999999999998863
2021-06-23,GAIL,2021-06-24,156.0,156.45,152.9,153.55,153.2,153.55,1937,1830539000.0,6374500,-6874700,153.35,0.3354,0.20000000000001705
