Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,HDFC,2021-06-24,2572.05,2618.0,2570.0,2589.1,2589.9,2589.1,17744,13807295000.000002,16838700,-679200,2580.75,0.5172,8.349999999999909
2021-06-02,HDFC,2021-06-24,2575.05,2586.8,2545.0,2575.55,2577.0,2575.55,13017,10012610000.0,16000500,-838200,2562.15,0.6509,13.400000000000091
2021-06-03,HDFC,2021-06-24,2570.5,2615.45,2570.0,2591.25,2587.05,2591.25,12463,9691180000.0,16064700,64200,2584.0,0.5338,7.25
2021-06-04,HDFC,2021-06-24,2592.65,2638.1,2592.1,2623.9,2619.3,2623.9,14615,11480107000.0,15797100,-267600,2619.05,0.5307999999999999,4.849999999999909
2021-06-07,HDFC,2021-06-24,2638.0,2642.9,2594.2,2599.1,2599.5,2599.1,9372,7328023000.0,15702300,-94800,2585.75,0.6112,13.349999999999909
2021-06-08,HDFC,2021-06-24,2599.8,2599.8,2561.95,2567.05,2567.0,2567.05,8712,6726325999.999999,15673800,-28500,2554.5,0.7171,12.550000000000182
2021-06-09,HDFC,2021-06-24,2563.1,2585.95,2550.7,2555.4,2558.55,2555.4,11777,9066431000.0,15672000,-1800,2544.75,0.5352,10.650000000000091
2021-06-10,HDFC,2021-06-24,2559.3,2571.0,2538.9,2565.7,2567.15,2565.7,9768,7498316000.0,15747900,75900,2561.9,0.5944,3.799999999999727
2021-06-11,HDFC,2021-06-24,2580.15,2596.7,2561.05,2563.8,2564.05,2563.8,10319,7977050000.0,15546900,-201000,2559.8,0.5819,4.0
2021-06-14,HDFC,2021-06-24,2557.15,2561.4,2516.1,2543.3,2543.2,2543.3,10475,7963131000.0,15769500,224400,2539.2,0.4865,4.100000000000364
2021-06-15,HDFC,2021-06-24,2561.55,2562.0,2539.35,2551.7,2550.5,2551.7,5970,4566969000.0,15930300,160800,2545.1,0.5251,6.599999999999909
2021-06-16,HDFC,2021-06-24,2542.65,2550.8,2523.95,2529.45,2528.95,2529.45,7257,5517445000.0,15804900,-125400,2521.45,0.6523000000000001,8.0
2021-06-17,HDFC,2021-06-24,2498.05,2512.1,2489.05,2493.5,2492.4,2493.5,9488,7114024000.000001,15762000,-42900,2487.3,0.6706000000000001,6.199999999999818
2021-06-18,HDFC,2021-06-24,2507.25,2508.1,2456.65,2490.3,2498.8,2490.3,11781,8765851000.0,15039000,-723000,2488.1,0.5661,2.200000000000273
2021-06-21,HDFC,2021-06-24,2458.0,2521.0,2457.25,2513.85,2515.4,2513.85,12530,9370065000.0,13465800,-1573200,2516.4,0.5525,-2.550000000000182
2021-06-22,HDFC,2021-06-24,2541.35,2545.65,2513.2,2520.7,2518.0,2520.7,21313,16193896000.0,9327300,-4138500,2522.9,0.6275000000000001,-2.200000000000273
2021-06-23,HDFC,2021-06-24,2534.2,2537.65,2495.95,2499.7,2500.95,2499.7,20276,15263412000.0,4281600,-5045700,2497.2,0.6329,2.5
