Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,HDFCBANK,2021-06-24,1519.0,1526.65,1508.35,1513.8,1513.75,1513.8,13338,11125673000.0,24503050,-941050,1511.7,0.49090000000000006,2.099999999999909
2021-06-02,HDFCBANK,2021-06-24,1511.55,1513.0,1497.15,1510.5,1510.25,1510.5,10726,8878745000.0,24138400,-364650,1504.0,0.5764,6.5
2021-06-03,HDFCBANK,2021-06-24,1436.2,1524.8,1435.65,1520.15,1520.1,1520.15,13881,11571400000.0,23663750,-474650,1520.55,0.4156,-0.3999999999998636
2021-06-04,HDFCBANK,2021-06-24,1520.0,1524.5,1505.95,1508.55,1510.5,1508.55,10988,9146207000.0,23434400,-229350,1500.95,0.5696,7.599999999999909
2021-06-07,HDFCBANK,2021-06-24,1516.2,1516.65,1503.0,1507.2,1507.35,1507.2,8729,7240820000.0,23719300,284900,1499.85,0.5887,7.350000000000136
2021-06-08,HDFCBANK,2021-06-24,1504.8,1506.95,1489.1,1490.45,1490.65,1490.45,10728,8817200000.0,24363900,644600,1483.05,0.6915000000000001,7.400000000000091
2021-06-09,HDFCBANK,2021-06-24,1489.9,1506.1,1477.15,1487.2,1488.75,1487.2,18319,15051222000.0,23625800,-738100,1480.3,0.4671,6.900000000000091
2021-06-10,HDFCBANK,2021-06-24,1489.1,1494.8,1480.5,1488.35,1490.0,1488.35,16011,13092657000.0,24366650,740850,1481.05,0.6069,7.2999999999999545
2021-06-11,HDFCBANK,2021-06-24,1499.2,1503.45,1486.55,1490.7,1491.0,1490.7,11390,9346374000.0,24827000,460350,1486.35,0.4989,4.350000000000136
2021-06-14,HDFCBANK,2021-06-24,1484.9,1489.75,1465.55,1481.5,1481.95,1481.5,15311,12439992000.0,24431000,-393800,1479.45,0.5316,2.0499999999999545
2021-06-15,HDFCBANK,2021-06-24,1486.0,1497.4,1476.2,1492.1,1491.5,1492.1,13829,11342082000.0,23642850,-788150,1490.25,0.4754,1.849999999999909
2021-06-16,HDFCBANK,2021-06-24,1489.95,1496.15,1483.05,1489.3,1490.45,1489.3,10937,8959564000.0,22747450,-895400,1484.6,0.6163000000000001,4.7000000000000455
2021-06-17,HDFCBANK,2021-06-24,1467.85,1478.5,1462.5,1468.0,1463.25,1468.0,13413,10859582000.0,21694750,-1052700,1466.1,0.5607,1.900000000000091
2021-06-18,HDFCBANK,2021-06-24,1466.95,1486.0,1455.5,1480.7,1485.55,1480.7,17502,14143835000.0,18745650,-2949100,1479.8,0.551,0.900000000000091
2021-06-21,HDFCBANK,2021-06-24,1463.0,1490.8,1459.75,1488.25,1490.4,1488.25,15694,12735240000.0,15544650,-3201000,1488.7,0.4889,-0.4500000000000455
2021-06-22,HDFCBANK,2021-06-24,1495.75,1507.3,1482.3,1486.45,1483.2,1486.45,22648,18644935000.0,11370700,-4173950,1483.8,0.6021,2.650000000000091
2021-06-23,HDFCBANK,2021-06-24,1490.1,1497.75,1481.0,1487.7,1487.3,1487.7,22279,18240154000.0,4737150,-6633550,1485.5,0.5279,2.2000000000000455
