Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,HDFCLIFE,2021-06-24,671.15,672.5,666.55,668.7,668.6,668.7,3415,2515040000.0,14550800,-29700,665.25,0.4264,3.4500000000000455
2021-06-02,HDFCLIFE,2021-06-24,668.1,682.2,666.65,679.65,680.4,679.65,7561,5624784000.0,15131600,580800,675.9,0.6474,3.75
2021-06-03,HDFCLIFE,2021-06-24,681.7,685.65,679.65,681.2,681.25,681.2,3731,2801866000.0,14810400,-321200,678.45,0.54,2.75
2021-06-04,HDFCLIFE,2021-06-24,682.8,689.95,680.2,683.65,683.5,683.65,3882,2927707000.0,14754300,-56100,680.9,0.41200000000000003,2.75
2021-06-07,HDFCLIFE,2021-06-24,685.65,685.7,677.35,682.65,682.2,682.65,2312,1732608000.0000002,14873100,118800,680.1,0.5255,2.5499999999999545
2021-06-08,HDFCLIFE,2021-06-24,684.9,694.4,682.35,691.85,693.55,691.85,5752,4360385000.0,14245000,-628100,689.7,0.49560000000000004,2.1499999999999773
2021-06-09,HDFCLIFE,2021-06-24,694.8,698.0,682.45,686.3,686.0,686.3,4839,3679846000.0,13542100,-702900,684.9,0.5214,1.3999999999999773
2021-06-10,HDFCLIFE,2021-06-24,687.7,692.25,684.75,689.5,687.95,689.5,2964,2247552000.0,12933800,-608300,689.25,0.6867,0.25
2021-06-11,HDFCLIFE,2021-06-24,687.95,690.75,682.8,685.1,685.6,685.1,1796,1355886000.0,12961300,27500,682.6,0.6648000000000001,2.5
2021-06-14,HDFCLIFE,2021-06-24,684.6,685.95,675.15,684.45,684.85,684.45,2056,1542104000.0,12996500,35200,681.7,0.465,2.75
2021-06-15,HDFCLIFE,2021-06-24,684.7,694.45,683.2,693.1,694.2,693.1,3279,2489524000.0,12482800,-513700,692.55,0.6714,0.5500000000000682
2021-06-16,HDFCLIFE,2021-06-24,696.35,698.2,690.15,692.4,694.0,692.4,4131,3156795000.0,11513700,-969100,692.15,0.48710000000000003,0.25
2021-06-17,HDFCLIFE,2021-06-24,688.45,703.95,683.0,700.05,700.3,700.05,5238,4022705000.0000005,10501700,-1012000,700.3,0.5581,-0.25
2021-06-18,HDFCLIFE,2021-06-24,704.3,711.4,693.45,708.7,709.95,708.7,6207,4805414000.0,8864900,-1636800,709.2,0.6531,-0.5
2021-06-21,HDFCLIFE,2021-06-24,705.35,719.6,704.8,718.15,718.9,718.15,7290,5719912000.0,6185300,-2679600,718.75,0.5537,-0.6000000000000227
2021-06-22,HDFCLIFE,2021-06-24,719.75,723.35,712.6,716.75,717.2,716.75,4204,3319057000.0,3899500,-2285800,716.75,0.44270000000000004,0.0
2021-06-23,HDFCLIFE,2021-06-24,722.1,723.0,716.0,717.1,717.9,717.1,3220,2548937000.0,1670900,-2228600,717.75,0.6061,-0.6499999999999773
