Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,ITC,2021-06-24,216.1,216.65,211.55,212.8,213.5,212.8,15656,10721494000.0,147305600,176000,215.25,0.484,-2.4499999999999886
2021-06-02,ITC,2021-06-24,208.5,210.0,204.25,204.6,204.65,204.6,33898,22322625000.0,168140800,20835200,209.0,0.6274000000000001,-4.400000000000006
2021-06-03,ITC,2021-06-24,208.0,208.0,203.8,204.55,204.45,204.55,13962,9153224000.0,173859200,5718400,209.05,0.6691,-4.5
2021-06-04,ITC,2021-06-24,205.3,205.7,203.25,204.4,205.5,204.4,10815,7059820000.0,178163200,4304000,208.75,0.6411,-4.349999999999994
2021-06-07,ITC,2021-06-24,205.7,207.75,205.65,206.8,206.95,206.8,12404,8212366000.0,173542400,-4620800,211.45,0.5768,-4.649999999999977
2021-06-08,ITC,2021-06-24,205.6,209.5,205.6,208.9,208.95,208.9,10335,6882267999.999999,169747200,-3795200,213.65,0.45420000000000005,-4.75
2021-06-09,ITC,2021-06-24,209.45,209.7,206.6,207.85,207.8,207.85,11886,7923198000.0,163004800,-6742400,212.5,0.6077,-4.650000000000006
2021-06-10,ITC,2021-06-24,209.05,211.75,207.8,209.8,210.1,209.8,13013,8733748000.0,156310400,-6694400,209.3,0.49450000000000005,0.5
2021-06-11,ITC,2021-06-24,210.5,210.7,208.0,208.3,208.25,208.3,8366,5595190000.0,158108800,1798400,207.9,0.5931000000000001,0.4000000000000057
2021-06-14,ITC,2021-06-24,208.25,208.8,205.4,207.8,208.05,207.8,6697,4436139000.0,156220800,-1872000,207.3,0.5338,0.5
2021-06-15,ITC,2021-06-24,208.0,208.6,207.2,207.45,207.4,207.45,5759,3829297000.0,155097600,-1123200,207.05,0.5602,0.39999999999997726
2021-06-16,ITC,2021-06-24,207.6,209.85,207.5,208.6,208.15,208.6,9947,6646357000.000001,148742400,-6355200,207.85,0.5156000000000001,0.75
2021-06-17,ITC,2021-06-24,207.7,208.45,205.5,206.25,205.95,206.25,8437,5584601000.0,145868800,-2873600,205.65,0.5931000000000001,0.5999999999999943
2021-06-18,ITC,2021-06-24,206.3,206.7,202.45,205.0,205.0,205.0,11390,7448830000.0,134342400,-11526400,204.55,0.584,0.44999999999998863
2021-06-21,ITC,2021-06-24,203.5,206.15,202.75,204.9,204.75,204.9,12061,7909017000.0,114422400,-19920000,204.45,0.5526,0.45000000000001705
2021-06-22,ITC,2021-06-24,206.25,206.4,204.65,205.15,205.1,205.15,15424,10130071000.0,87097600,-27324800,205.1,0.5571,0.05000000000001137
2021-06-23,ITC,2021-06-24,205.1,205.8,203.75,204.15,204.3,204.15,14235,9317612000.0,57193600,-29904000,203.95,0.5895,0.20000000000001705
