Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,MARUTI,2021-06-24,7124.0,7159.05,7065.0,7111.15,7103.15,7111.15,8292,5901063000.0,2013200,-61600,7091.15,0.3689,20.0
2021-06-02,MARUTI,2021-06-24,7111.15,7218.0,7085.0,7204.4,7208.0,7204.4,6492,4653889000.0,1939200,-74000,7184.7,0.484,19.699999999999818
2021-06-03,MARUTI,2021-06-24,7235.95,7261.5,7183.05,7227.15,7220.1,7227.15,3987,2878377000.0,1937100,-2100,7209.5,0.4178,17.649999999999636
2021-06-04,MARUTI,2021-06-24,7220.1,7300.0,7185.0,7249.6,7249.25,7249.6,6142,4454520000.0,1925100,-12000,7214.7,0.39780000000000004,34.900000000000546
2021-06-07,MARUTI,2021-06-24,7261.55,7343.35,7245.0,7289.15,7288.9,7289.15,5965,4355646000.0,1880300,-44800,7275.65,0.4313,13.5
2021-06-08,MARUTI,2021-06-24,7330.0,7377.8,7306.1,7349.6,7350.0,7349.6,5955,4372901000.0,1823200,-57100,7336.75,0.5559000000000001,12.850000000000364
2021-06-09,MARUTI,2021-06-24,7323.05,7347.0,7205.8,7252.25,7245.05,7252.25,5955,4328339000.0,1828600,5400,7239.0,0.4062,13.25
2021-06-10,MARUTI,2021-06-24,7282.65,7322.9,7192.05,7210.6,7217.65,7210.6,4174,3015825000.0,1841500,12900,7199.9,0.3911,10.700000000000728
2021-06-11,MARUTI,2021-06-24,7220.05,7256.0,7195.6,7234.95,7224.8,7234.95,3116,2252997000.0,1844100,2600,7223.8,0.4924,11.149999999999636
2021-06-14,MARUTI,2021-06-24,7198.9,7223.9,7121.0,7207.15,7210.1,7207.15,4932,3536490000.0,1824700,-18500,7177.85,0.44520000000000004,29.299999999999272
2021-06-15,MARUTI,2021-06-24,7208.65,7249.0,7182.6,7193.55,7191.85,7193.55,2564,1846999000.0000002,1855400,30700,7166.25,0.42950000000000005,27.300000000000182
2021-06-16,MARUTI,2021-06-24,7181.0,7212.2,7088.7,7134.05,7131.9,7134.05,3958,2826326000.0,1870200,14800,7114.25,0.4545,19.800000000000182
2021-06-17,MARUTI,2021-06-24,7075.0,7113.85,6951.0,6985.75,6965.0,6985.75,5974,4197033999.9999995,1848100,-22100,6969.35,0.5596,16.399999999999636
2021-06-18,MARUTI,2021-06-24,6983.4,6990.95,6833.1,6972.8,6968.65,6972.8,6352,4400434000.0,1747800,-100300,6959.35,0.5178,13.449999999999818
2021-06-21,MARUTI,2021-06-24,6889.75,6935.0,6855.05,6915.3,6910.0,6915.3,5847,4035424000.0,1553900,-193900,6899.9,0.5618,15.400000000000546
2021-06-22,MARUTI,2021-06-24,6950.05,7300.0,6944.0,7257.3,7252.0,7257.3,20472,14726019000.0,1121800,-432100,7265.4,0.3129,-8.099999999999454
2021-06-23,MARUTI,2021-06-24,7267.15,7480.0,7235.15,7422.1,7423.6,7422.1,14768,10928603000.0,751000,-370800,7432.7,0.4636,-10.599999999999454
