Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,NESTLEIND,2021-06-24,17635.1,17870.7,17530.95,17824.15,17825.05,17824.15,961,853839000.0,220600,900,17758.5,0.48100000000000004,65.65000000000146
2021-06-02,NESTLEIND,2021-06-24,17656.35,17909.9,17622.0,17749.95,17739.9,17749.95,1387,1231464000.0,212000,-8600,17653.5,0.5660000000000001,96.45000000000073
2021-06-03,NESTLEIND,2021-06-24,17764.35,17939.85,17656.05,17857.85,17787.6,17857.85,995,885289000.0,213550,1550,17799.4,0.3762,58.44999999999709
2021-06-04,NESTLEIND,2021-06-24,17729.9,17785.7,17469.7,17513.05,17502.05,17513.05,2357,2072290000.0000002,210850,-2700,17426.8,0.5453,86.25
2021-06-07,NESTLEIND,2021-06-24,17510.05,17677.7,17430.75,17619.55,17624.0,17619.55,1077,945720999.9999999,208400,-2450,17532.55,0.4483,87.0
2021-06-08,NESTLEIND,2021-06-24,17562.9,17685.55,17480.05,17542.2,17525.0,17542.2,1129,990832000.0,215850,7450,17482.6,0.45549999999999996,59.60000000000218
2021-06-09,NESTLEIND,2021-06-24,17530.0,17698.95,17502.1,17640.5,17635.35,17640.5,1414,1243799000.0,211850,-4000,17557.15,0.504,83.34999999999854
2021-06-10,NESTLEIND,2021-06-24,17665.05,17739.5,17543.0,17588.45,17582.8,17588.45,1015,895100000.0,214850,3000,17556.1,0.4999,32.35000000000218
2021-06-11,NESTLEIND,2021-06-24,17588.5,17647.65,17440.75,17606.75,17580.1,17606.75,1162,1019896999.9999999,218850,4000,17536.4,0.4587,70.34999999999854
2021-06-14,NESTLEIND,2021-06-24,17507.9,17677.3,17481.25,17625.35,17599.25,17625.35,831,730801000.0,219100,250,17577.5,0.4117,47.849999999998545
2021-06-15,NESTLEIND,2021-06-24,17583.85,17730.0,17560.05,17691.4,17699.95,17691.4,912,806357000.0,214600,-4500,17684.8,0.5367000000000001,6.600000000002183
2021-06-16,NESTLEIND,2021-06-24,17709.3,18138.95,17645.0,18014.1,17972.0,18014.1,2437,2188550000.0,209800,-4800,17965.2,0.4411,48.89999999999782
2021-06-17,NESTLEIND,2021-06-24,17968.8,18190.0,17950.0,18061.35,18061.55,18061.35,2053,1857875000.0,213600,3800,18059.05,0.3412,2.2999999999992724
2021-06-18,NESTLEIND,2021-06-24,18014.05,18102.5,17641.2,17717.2,17661.9,17717.2,2400,2139131000.0000002,205150,-8450,17670.65,0.6138,46.54999999999927
2021-06-21,NESTLEIND,2021-06-24,17667.9,17730.25,17546.65,17653.75,17672.0,17653.75,1605,1414800000.0,167500,-37650,17649.15,0.4399,4.599999999998545
2021-06-22,NESTLEIND,2021-06-24,17693.95,17798.9,17427.55,17475.25,17479.9,17475.25,1985,1738195000.0,115300,-52200,17436.55,0.4598,38.70000000000073
2021-06-23,NESTLEIND,2021-06-24,17531.95,17569.6,17360.0,17442.6,17411.1,17442.6,1979,1726102000.0,47100,-68200,17414.8,0.3896,27.799999999999272
