Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-06-01,TITAN,2021-06-24,1606.3,1615.9,1595.65,1599.35,1599.0,1599.35,3684,2216063000.0,4354125,25500,1591.4,0.27030000000000004,7.949999999999818
2021-06-02,TITAN,2021-06-24,1593.2,1602.2,1573.55,1594.4,1594.5,1594.4,5301,3154028000.0,4044000,-310125,1585.7,0.4623,8.700000000000045
2021-06-03,TITAN,2021-06-24,1604.95,1700.65,1598.25,1694.95,1696.65,1694.95,19985,12527135000.0,4485375,441375,1691.2,0.17550000000000002,3.75
2021-06-04,TITAN,2021-06-24,1711.15,1713.6,1672.0,1684.45,1687.05,1684.45,7724,4884854000.0,4146000,-339375,1679.5,0.2175,4.9500000000000455
2021-06-07,TITAN,2021-06-24,1687.75,1716.8,1680.55,1693.55,1692.35,1693.55,5315,3387805000.0000005,4103625,-42375,1685.1,0.36450000000000005,8.450000000000045
2021-06-08,TITAN,2021-06-24,1690.1,1728.85,1678.6,1715.45,1712.9,1715.45,6730,4314700000.0,4126875,23250,1712.5,0.26030000000000003,2.9500000000000455
2021-06-09,TITAN,2021-06-24,1717.65,1737.6,1700.4,1730.4,1729.95,1730.4,9056,5851151000.0,3915000,-211875,1730.75,0.4983,-0.34999999999990905
2021-06-10,TITAN,2021-06-24,1742.2,1746.0,1723.0,1739.05,1737.9,1739.05,5570,3626150000.0,4047375,132375,1738.65,0.4362,0.3999999999998636
2021-06-11,TITAN,2021-06-24,1734.3,1744.6,1726.3,1734.3,1735.6,1734.3,3377,2196955000.0,3958500,-88875,1728.45,0.37020000000000003,5.849999999999909
2021-06-14,TITAN,2021-06-24,1727.05,1741.95,1715.85,1735.75,1736.75,1735.75,2856,1852856000.0000002,3926250,-32250,1734.8,0.3222,0.9500000000000455
2021-06-15,TITAN,2021-06-24,1749.0,1749.0,1726.0,1728.65,1726.25,1728.65,2217,1442384000.0,3933375,7125,1723.4,0.3976,5.25
2021-06-16,TITAN,2021-06-24,1725.0,1733.05,1712.05,1719.9,1718.55,1719.9,3226,2084580000.0,3867750,-65625,1714.95,0.5436,4.9500000000000455
2021-06-17,TITAN,2021-06-24,1708.1,1724.5,1704.25,1714.05,1708.55,1714.05,2731,1755881000.0000002,3836250,-31500,1711.4,0.297,2.6499999999998636
2021-06-18,TITAN,2021-06-24,1704.4,1719.5,1687.25,1710.15,1716.85,1710.15,5850,3735575000.0,3864000,27750,1711.3,0.5949,-1.1499999999998636
2021-06-21,TITAN,2021-06-24,1702.85,1743.55,1692.25,1740.4,1741.2,1740.4,5403,3483468000.0,3154500,-709500,1742.85,0.3008,-2.449999999999818
2021-06-22,TITAN,2021-06-24,1749.55,1768.75,1747.85,1754.8,1755.65,1754.8,6607,4357752000.0,2316000,-838500,1757.0,0.5321,-2.2000000000000455
2021-06-23,TITAN,2021-06-24,1763.85,1787.75,1756.9,1784.15,1782.05,1784.15,8654,5762198000.0,979125,-1336875,1782.55,0.2335,1.6000000000001364
