Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,ADANIPORTS,2021-07-29,707.7,715.0,703.4,707.8,709.4,707.8,4541,4019162000.0000005,80092500,-66250,703.1,0.2147,4.699999999999932
2021-07-02,ADANIPORTS,2021-07-29,709.6,728.1,708.2,712.45,712.9,712.45,13230,11868060000.0,80723750,631250,710.4,0.1304,2.050000000000068
2021-07-05,ADANIPORTS,2021-07-29,719.0,723.05,705.0,714.2,713.9,714.2,8527,7603584000.0,81048750,325000,710.05,0.1086,4.150000000000091
2021-07-06,ADANIPORTS,2021-07-29,715.9,735.95,709.55,716.65,718.0,716.65,12557,11367496000.0,81438750,390000,712.7,0.11080000000000001,3.949999999999932
2021-07-07,ADANIPORTS,2021-07-29,719.2,727.25,707.55,724.45,726.5,724.45,7980,7168860000.000001,81908750,470000,720.1,0.1359,4.350000000000023
2021-07-08,ADANIPORTS,2021-07-29,728.0,731.0,710.25,714.3,714.2,714.3,5744,5173769000.0,82077500,168750,711.7,0.13369999999999999,2.599999999999909
2021-07-09,ADANIPORTS,2021-07-29,714.75,741.15,710.3,731.6,731.75,731.6,12295,11215539000.0,81833750,-243750,728.5,0.1562,3.1000000000000227
2021-07-12,ADANIPORTS,2021-07-29,735.15,737.7,716.25,719.85,718.95,719.85,6611,6007444000.0,83070000,1236250,718.05,0.1567,1.8000000000000682
2021-07-13,ADANIPORTS,2021-07-29,718.0,726.05,702.6,705.8,706.5,705.8,11417,10114582000.0,84602500,1532500,704.0,0.22640000000000002,1.7999999999999545
2021-07-14,ADANIPORTS,2021-07-29,709.9,712.5,697.0,698.9,697.9,698.9,7381,6492752000.0,85000000,397500,697.25,0.2503,1.6499999999999773
2021-07-15,ADANIPORTS,2021-07-29,700.15,709.35,696.6,702.15,701.5,702.15,6971,6120886000.0,82547500,-2452500,699.1,0.2352,3.0499999999999545
2021-07-16,ADANIPORTS,2021-07-29,701.6,705.45,688.4,690.55,691.5,690.55,6713,5822055000.0,80617500,-1930000,687.6,0.37950000000000006,2.949999999999932
2021-07-19,ADANIPORTS,2021-07-29,672.65,695.9,662.4,675.8,675.1,675.8,36056,30817880000.0,53487500,-27130000,673.7,0.2353,2.099999999999909
2021-07-20,ADANIPORTS,2021-07-29,664.15,682.45,662.05,673.4,673.05,673.4,10376,8712850000.0,48888750,-4598750,672.6,0.155,0.7999999999999545
2021-07-22,ADANIPORTS,2021-07-29,678.7,697.1,667.65,692.2,694.0,692.2,16474,14014406000.0,39802500,-9086250,691.8,0.1991,0.40000000000009095
2021-07-23,ADANIPORTS,2021-07-29,682.5,699.25,677.8,680.1,679.0,680.1,11643,9972012000.0,34493750,-5308750,680.05,0.11630000000000001,0.05000000000006821
2021-07-26,ADANIPORTS,2021-07-29,678.7,692.0,674.6,683.55,682.85,683.55,9447,8084357000.000001,27718750,-6775000,682.8,0.1466,0.75
2021-07-27,ADANIPORTS,2021-07-29,689.5,689.55,659.65,663.5,663.9,663.5,12005,10095762000.0,20152500,-7566250,663.2,0.188,0.2999999999999545
2021-07-28,ADANIPORTS,2021-07-29,666.2,677.6,654.55,665.65,664.55,665.65,13497,11214259000.0,11130000,-9022500,665.4,0.14400000000000002,0.25
