Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,BAJAJ-AUTO,2021-07-29,4019.8,4123.55,4019.8,4078.05,4078.8,4078.05,4197,4292386000.0,1463250,100250,4204.55,0.1981,-126.5
2021-07-02,BAJAJ-AUTO,2021-07-29,4081.1,4094.0,4040.0,4049.05,4052.15,4049.05,1725,1750627000.0,1492750,29500,4175.35,0.4908,-126.30000000000018
2021-07-05,BAJAJ-AUTO,2021-07-29,4075.7,4121.5,4056.8,4081.75,4080.0,4081.75,2016,2061891000.0,1520250,27500,4201.5,0.4814,-119.75
2021-07-06,BAJAJ-AUTO,2021-07-29,4081.75,4131.05,4052.55,4077.25,4076.6,4077.25,3899,3994478000.0,1698750,178500,4195.4,0.47259999999999996,-118.14999999999964
2021-07-07,BAJAJ-AUTO,2021-07-29,4067.1,4099.8,4047.5,4069.85,4075.9,4069.85,1810,1840600000.0,1753750,55000,4188.25,0.5516,-118.40000000000009
2021-07-08,BAJAJ-AUTO,2021-07-29,4060.0,4126.25,4047.1,4084.15,4080.0,4084.15,2921,2990758000.0,1814750,61000,4077.3,0.29660000000000003,6.849999999999909
2021-07-09,BAJAJ-AUTO,2021-07-29,4077.45,4093.35,4009.35,4015.55,4017.35,4015.55,2788,2810568000.0,1864750,50000,3995.9,0.44329999999999997,19.65000000000009
2021-07-12,BAJAJ-AUTO,2021-07-29,4038.15,4044.45,3965.05,3974.0,3979.15,3974.0,2444,2443253000.0,1857250,-7500,3956.15,0.47100000000000003,17.84999999999991
2021-07-13,BAJAJ-AUTO,2021-07-29,3986.45,4038.9,3972.05,3984.3,3986.0,3984.3,2831,2832725000.0,1880500,23250,3966.1,0.49100000000000005,18.200000000000273
2021-07-14,BAJAJ-AUTO,2021-07-29,3982.9,4018.0,3958.6,3971.55,3973.05,3971.55,2591,2580118000.0,1946000,65500,3953.85,0.5179,17.700000000000273
2021-07-15,BAJAJ-AUTO,2021-07-29,3971.7,3979.35,3944.0,3956.3,3954.4,3956.3,1678,1660757000.0,2045000,99000,3940.0,0.4777,16.300000000000182
2021-07-16,BAJAJ-AUTO,2021-07-29,3968.9,3971.95,3937.0,3944.35,3944.8,3944.35,1601,1582070000.0,2051000,6000,3931.95,0.5068,12.400000000000091
2021-07-19,BAJAJ-AUTO,2021-07-29,3929.65,3945.8,3880.0,3895.0,3899.6,3895.0,1787,1745530000.0,2070250,19250,3882.85,0.4994,12.150000000000091
2021-07-20,BAJAJ-AUTO,2021-07-29,3891.3,3937.15,3887.6,3914.4,3913.45,3914.4,2532,2476191000.0,2022250,-48000,3905.4,0.4329,9.0
2021-07-22,BAJAJ-AUTO,2021-07-29,3915.05,4014.95,3793.05,3853.8,3855.95,3853.8,15545,15277376999.999998,2102000,79750,3853.2,0.1597,0.6000000000003638
2021-07-23,BAJAJ-AUTO,2021-07-29,3873.15,3922.85,3822.55,3838.65,3839.85,3838.65,5469,5278356000.0,1830500,-271500,3841.9,0.262,-3.25
2021-07-26,BAJAJ-AUTO,2021-07-29,3845.2,3863.95,3826.1,3832.25,3834.75,3832.25,4000,3842976000.0,1378250,-452250,3836.35,0.43670000000000003,-4.099999999999909
2021-07-27,BAJAJ-AUTO,2021-07-29,3841.7,3856.9,3808.1,3818.45,3819.15,3818.45,3955,3793780000.0000005,833000,-545250,3821.4,0.4643,-2.950000000000273
2021-07-28,BAJAJ-AUTO,2021-07-29,3804.35,3824.0,3780.0,3816.6,3815.15,3816.6,3070,2919724000.0,410000,-423000,3818.5,0.4087,-1.900000000000091
