Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,CIPLA,2021-07-29,974.9,983.75,967.7,982.3,983.2,982.3,4699,2986255000.0,9156550,-416650,978.1,0.348,4.199999999999932
2021-07-02,CIPLA,2021-07-29,983.05,987.7,979.0,983.35,982.7,983.35,3413,2181179000.0,8901750,-254800,979.2,0.3722,4.149999999999977
2021-07-05,CIPLA,2021-07-29,986.8,987.45,976.7,978.6,978.5,978.6,2587,1650021000.0,8913450,11700,974.7,0.41000000000000003,3.8999999999999773
2021-07-06,CIPLA,2021-07-29,974.35,977.3,968.4,973.0,972.65,973.0,2206,1394683000.0,8905000,-8450,969.1,0.3354,3.8999999999999773
2021-07-07,CIPLA,2021-07-29,968.15,973.3,965.5,969.4,969.0,969.4,2440,1537083000.0,9126000,221000,965.2,0.5786,4.199999999999932
2021-07-08,CIPLA,2021-07-29,967.55,970.95,949.75,954.6,954.35,954.6,3358,2093468999.9999998,9226750,100750,950.65,0.43579999999999997,3.9500000000000455
2021-07-09,CIPLA,2021-07-29,953.95,970.0,952.5,964.35,964.25,964.35,4145,2594476000.0,9224800,-1950,959.8,0.2432,4.550000000000068
2021-07-12,CIPLA,2021-07-29,964.7,970.7,959.0,963.5,963.95,963.5,1710,1070831000.0,9156550,-68250,959.85,0.30010000000000003,3.6499999999999773
2021-07-13,CIPLA,2021-07-29,962.95,972.4,959.95,969.8,969.15,969.8,1884,1186175000.0,9118850,-37700,965.65,0.42240000000000005,4.149999999999977
2021-07-14,CIPLA,2021-07-29,962.75,978.55,962.5,977.35,977.15,977.35,3085,1952048000.0,9001200,-117650,977.15,0.4122,0.20000000000004547
2021-07-15,CIPLA,2021-07-29,980.95,981.5,972.7,974.45,975.0,974.45,1649,1046131000.0,8850400,-150800,973.6,0.4947,0.8500000000000227
2021-07-16,CIPLA,2021-07-29,975.0,990.85,973.15,979.95,979.1,979.95,3683,2355656000.0,8637850,-212550,977.15,0.28800000000000003,2.800000000000068
2021-07-19,CIPLA,2021-07-29,972.0,985.6,972.0,976.95,978.2,976.95,1948,1238952000.0,8432450,-205400,974.0,0.3987,2.9500000000000455
2021-07-20,CIPLA,2021-07-29,973.0,975.35,954.25,957.2,956.3,957.2,3068,1914656000.0000002,8398000,-34450,955.15,0.3335,2.050000000000068
2021-07-22,CIPLA,2021-07-29,957.85,959.3,949.0,952.15,952.5,952.15,2573,1592367000.0,8443500,45500,949.9,0.5535,2.25
2021-07-23,CIPLA,2021-07-29,952.45,957.75,948.25,949.65,949.75,949.65,2341,1447723000.0,8301800,-141700,948.0,0.4693,1.6499999999999773
2021-07-26,CIPLA,2021-07-29,949.45,958.6,949.45,952.25,953.25,952.25,2797,1734562000.0,7601100,-700700,950.55,0.3504,1.7000000000000455
2021-07-27,CIPLA,2021-07-29,956.0,957.35,908.95,915.2,918.0,915.2,11774,7101524000.000001,4017000,-3584100,913.1,0.3617,2.1000000000000227
2021-07-28,CIPLA,2021-07-29,917.05,917.05,888.35,891.8,896.15,891.8,7088,4129998000.0000005,1589900,-2427100,889.9,0.5323,1.8999999999999773
