Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,DIVISLAB,2021-07-29,4444.45,4466.95,4425.75,4452.9,4456.0,4452.9,2382,2120453000.0,2428000,44600,4435.7,0.31010000000000004,17.199999999999818
2021-07-02,DIVISLAB,2021-07-29,4457.15,4538.55,4446.0,4528.05,4535.9,4528.05,3844,3467603000.0,2387000,-41000,4519.65,0.37329999999999997,8.400000000000546
2021-07-05,DIVISLAB,2021-07-29,4531.1,4589.0,4530.0,4571.75,4577.0,4571.75,2820,2572192000.0,2357800,-29200,4559.95,0.3283,11.800000000000182
2021-07-06,DIVISLAB,2021-07-29,4568.1,4588.0,4528.8,4546.45,4555.9,4546.45,2011,1832766000.0,2287600,-70200,4524.2,0.3264,22.25
2021-07-07,DIVISLAB,2021-07-29,4551.5,4584.85,4501.05,4574.95,4578.55,4574.95,1891,1723807000.0,2289200,1600,4552.55,0.3769,22.399999999999636
2021-07-08,DIVISLAB,2021-07-29,4561.65,4579.9,4515.0,4526.65,4532.95,4526.65,1556,1411878000.0,2228400,-60800,4510.5,0.4394,16.149999999999636
2021-07-09,DIVISLAB,2021-07-29,4530.85,4637.0,4508.25,4610.6,4619.55,4610.6,4153,3816694000.0,2292200,63800,4599.7,0.299,10.900000000000546
2021-07-12,DIVISLAB,2021-07-29,4629.55,4629.55,4582.25,4599.35,4600.85,4599.35,1372,1262594000.0,2258800,-33400,4588.75,0.37979999999999997,10.600000000000364
2021-07-13,DIVISLAB,2021-07-29,4611.0,4627.95,4583.6,4616.35,4613.8,4616.35,1362,1256206000.0,2229400,-29400,4606.05,0.3736,10.300000000000182
2021-07-14,DIVISLAB,2021-07-29,4627.05,4669.6,4595.3,4627.4,4627.0,4627.4,2722,2524563000.0,2240000,10600,4623.2,0.45310000000000006,4.199999999999818
2021-07-15,DIVISLAB,2021-07-29,4642.95,4658.7,4606.4,4617.5,4623.0,4617.5,1608,1489145000.0,2197200,-42800,4607.3,0.507,10.199999999999818
2021-07-16,DIVISLAB,2021-07-29,4635.0,4778.0,4635.0,4760.85,4765.0,4760.85,7091,6721953000.0,2221200,24000,4757.6,0.373,3.25
2021-07-19,DIVISLAB,2021-07-29,4742.9,4833.0,4742.9,4818.45,4820.5,4818.45,3504,3365023000.0000005,2188200,-33000,4807.45,0.3007,11.0
2021-07-20,DIVISLAB,2021-07-29,4813.0,4847.95,4776.5,4788.5,4793.8,4788.5,2681,2578092000.0,2095200,-93000,4787.85,0.3804,0.6499999999996362
2021-07-22,DIVISLAB,2021-07-29,4804.65,4853.0,4776.45,4842.55,4849.1,4842.55,2290,2209331000.0,2036200,-59000,4843.25,0.5566,-0.6999999999998181
2021-07-23,DIVISLAB,2021-07-29,4846.55,4846.55,4807.0,4833.45,4830.05,4833.45,1859,1794625999.9999998,1866600,-169600,4824.75,0.4802,8.699999999999818
2021-07-26,DIVISLAB,2021-07-29,4835.1,4937.85,4835.1,4922.0,4925.25,4922.0,6815,6683578999.999999,1294400,-572200,4921.15,0.3009,0.8500000000003638
2021-07-27,DIVISLAB,2021-07-29,4924.7,4941.7,4678.3,4794.25,4790.25,4794.25,7071,6825635000.000001,894200,-400200,4791.4,0.392,2.850000000000364
2021-07-28,DIVISLAB,2021-07-29,4801.7,4905.85,4780.0,4884.45,4880.6,4884.45,3874,3767651999.9999995,597600,-296600,4890.6,0.31260000000000004,-6.150000000000546
