Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,HCLTECH,2021-07-29,983.85,985.55,975.4,983.0,983.95,983.0,3825,2628081000.0,18342800,-160300,985.5,0.6436000000000001,-2.5
2021-07-02,HCLTECH,2021-07-29,984.2,988.65,976.45,986.05,986.95,986.05,3973,2730656000.0,17968300,-374500,984.65,0.5454,1.3999999999999773
2021-07-05,HCLTECH,2021-07-29,992.1,994.5,978.85,980.65,981.4,980.65,4465,3078720000.0,18189500,221200,979.75,0.6176,0.8999999999999773
2021-07-06,HCLTECH,2021-07-29,978.4,980.6,967.2,968.95,970.2,968.95,4775,3252444000.0,17940300,-249200,972.05,0.6697,-3.099999999999909
2021-07-07,HCLTECH,2021-07-29,968.75,972.8,956.85,971.45,972.45,971.45,7287,4922077000.0,17998400,58100,975.35,0.5870000000000001,-3.8999999999999773
2021-07-08,HCLTECH,2021-07-29,970.25,978.4,965.1,971.9,971.2,971.9,5884,3999142000.0,17915100,-83300,976.8,0.6545000000000001,-4.899999999999977
2021-07-09,HCLTECH,2021-07-29,966.0,975.0,962.0,972.05,972.0,972.05,5156,3497743000.0,17690400,-224700,976.85,0.6812,-4.800000000000068
2021-07-12,HCLTECH,2021-07-29,974.5,977.8,969.9,974.45,973.35,974.45,2726,1858956000.0000002,17525200,-165200,979.45,0.6715000000000001,-5.0
2021-07-13,HCLTECH,2021-07-29,974.95,977.35,962.65,965.15,966.0,965.15,3145,2128268999.9999998,17894100,368900,967.95,0.6498999999999999,-2.800000000000068
2021-07-14,HCLTECH,2021-07-29,965.05,991.85,965.05,986.8,986.0,986.8,9677,6660578000.0,17923500,29400,989.45,0.5342,-2.650000000000091
2021-07-15,HCLTECH,2021-07-29,990.1,1049.65,988.2,1037.4,1037.5,1037.4,24824,17802080000.0,18322500,399000,1039.75,0.33590000000000003,-2.349999999999909
2021-07-16,HCLTECH,2021-07-29,1038.95,1044.95,992.35,999.2,999.85,999.2,23714,16712121000.0,19273800,951300,1005.0,0.4608,-5.7999999999999545
2021-07-19,HCLTECH,2021-07-29,999.55,1011.8,988.7,995.65,995.0,995.65,11000,7684525000.0,19177900,-95900,1000.2,0.331,-4.550000000000068
2021-07-20,HCLTECH,2021-07-29,996.6,1006.15,966.05,973.8,973.5,973.8,19598,13396469000.0,16719500,-2458400,977.2,0.5178,-3.400000000000091
2021-07-22,HCLTECH,2021-07-29,973.8,978.35,968.4,975.8,976.1,975.8,6289,4285176999.9999995,16345700,-373800,978.6,0.6912999999999999,-2.800000000000068
2021-07-23,HCLTECH,2021-07-29,979.85,997.35,978.5,988.3,987.3,988.3,10579,7327688000.0,13308400,-3037300,994.0,0.3754,-5.7000000000000455
2021-07-26,HCLTECH,2021-07-29,987.5,997.85,982.3,993.6,993.85,993.6,7502,5215642000.0,10227700,-3080700,1000.3,0.5760000000000001,-6.699999999999932
2021-07-27,HCLTECH,2021-07-29,996.3,1000.75,983.9,991.3,991.0,991.3,9153,6346231000.0,5591600,-4636100,992.0,0.6008,-0.7000000000000455
2021-07-28,HCLTECH,2021-07-29,992.4,993.45,977.0,985.0,984.5,985.0,5993,4134186000.0,2842000,-2749600,983.1,0.6897,1.8999999999999773
