Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,HINDUNILVR,2021-07-29,2481.35,2491.8,2474.0,2487.8,2488.8,2487.8,2141,1595673000.0,6237900,-15600,2478.0,0.659,9.800000000000182
2021-07-02,HINDUNILVR,2021-07-29,2489.2,2498.0,2461.6,2492.7,2493.4,2492.7,4201,3125346000.0,6176700,-61200,2487.3,0.6361,5.399999999999636
2021-07-05,HINDUNILVR,2021-07-29,2498.2,2522.45,2492.7,2505.5,2505.5,2505.5,3672,2764071000.0,6163500,-13200,2499.05,0.649,6.449999999999818
2021-07-06,HINDUNILVR,2021-07-29,2498.25,2502.4,2479.4,2483.2,2485.45,2483.2,2556,1909036000.0,6180600,17100,2472.5,0.5547,10.699999999999818
2021-07-07,HINDUNILVR,2021-07-29,2474.1,2495.7,2455.05,2485.9,2484.25,2485.9,3883,2883709000.0,6235800,55200,2481.65,0.5264,4.25
2021-07-08,HINDUNILVR,2021-07-29,2474.95,2475.5,2447.0,2454.75,2456.0,2454.75,4435,3271426000.0,6349500,113700,2447.55,0.5969,7.199999999999818
2021-07-09,HINDUNILVR,2021-07-29,2456.0,2468.5,2442.2,2455.2,2455.0,2455.2,2652,1954716000.0,6357900,8400,2451.45,0.45659999999999995,3.75
2021-07-12,HINDUNILVR,2021-07-29,2454.8,2459.05,2433.0,2447.25,2444.3,2447.25,3183,2335006000.0,6442800,84900,2444.15,0.5279,3.099999999999909
2021-07-13,HINDUNILVR,2021-07-29,2457.6,2457.95,2439.65,2444.5,2443.1,2444.5,2582,1894773000.0,6382500,-60300,2436.7,0.8045,7.800000000000182
2021-07-14,HINDUNILVR,2021-07-29,2444.55,2451.0,2418.2,2425.1,2423.5,2425.1,3289,2393457000.0,6417300,34800,2414.85,0.7319,10.25
2021-07-15,HINDUNILVR,2021-07-29,2430.0,2431.2,2410.3,2419.55,2420.3,2419.55,3079,2233228000.0,6462600,45300,2412.35,0.6204,7.200000000000273
2021-07-16,HINDUNILVR,2021-07-29,2427.0,2436.0,2415.25,2423.05,2424.95,2423.05,2569,1868815000.0000002,6477000,14400,2417.4,0.5673,5.650000000000091
2021-07-19,HINDUNILVR,2021-07-29,2409.95,2422.05,2403.15,2412.0,2413.9,2412.0,2178,1575534000.0,6528300,51300,2408.65,0.5326,3.349999999999909
2021-07-20,HINDUNILVR,2021-07-29,2405.25,2463.35,2405.25,2436.5,2436.0,2436.5,8037,5881990000.0,6153300,-375000,2434.9,0.3728,1.599999999999909
2021-07-22,HINDUNILVR,2021-07-29,2444.3,2512.8,2379.55,2383.25,2382.5,2383.25,24574,18051788000.0,6160200,6900,2378.15,0.33270000000000005,5.099999999999909
2021-07-23,HINDUNILVR,2021-07-29,2388.0,2390.0,2359.0,2363.05,2362.35,2363.05,6202,4412597000.0,6020400,-139800,2358.1,0.5758,4.950000000000273
2021-07-26,HINDUNILVR,2021-07-29,2354.8,2362.45,2342.75,2352.5,2353.75,2352.5,6321,4460831000.0,4914900,-1105500,2348.7,0.7489,3.800000000000182
2021-07-27,HINDUNILVR,2021-07-29,2352.5,2361.4,2336.65,2345.75,2340.85,2345.75,8013,5640434000.0,3432600,-1482300,2342.4,0.7625000000000001,3.349999999999909
2021-07-28,HINDUNILVR,2021-07-29,2347.75,2364.0,2341.55,2357.0,2355.8,2357.0,7438,5258776000.0,1921200,-1511400,2361.4,0.533,-4.400000000000091
