Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,NTPC,2021-07-29,117.05,117.5,115.8,117.2,117.4,117.2,2162,1438276000.0,46403700,-1812600,117.35,0.4208,-0.14999999999999147
2021-07-02,NTPC,2021-07-29,117.35,118.5,116.7,117.15,117.35,117.15,2910,1948797000.0,45976200,-427500,117.5,0.5374,-0.3499999999999943
2021-07-05,NTPC,2021-07-29,117.5,118.6,116.95,118.15,118.15,118.15,2919,1960975000.0,42886800,-3089400,118.6,0.5369,-0.44999999999998863
2021-07-06,NTPC,2021-07-29,117.45,118.4,117.0,117.4,117.3,117.4,2202,1475291000.0,44009700,1122900,117.65,0.5239,-0.25
2021-07-07,NTPC,2021-07-29,117.05,118.0,116.75,117.55,117.5,117.55,2181,1460449000.0,43451100,-558600,117.45,0.4737,0.09999999999999432
2021-07-08,NTPC,2021-07-29,117.3,118.8,117.3,117.7,117.35,117.7,2943,1981965000.0000002,43986900,535800,117.45,0.45439999999999997,0.25
2021-07-09,NTPC,2021-07-29,117.25,118.65,116.65,118.25,118.35,118.25,1699,1138645000.0,43787400,-199500,117.8,0.4242,0.45000000000000284
2021-07-12,NTPC,2021-07-29,117.95,118.8,117.6,117.9,117.85,117.9,1587,1068721999.9999999,43377000,-410400,117.85,0.5339,0.05000000000001137
2021-07-13,NTPC,2021-07-29,118.4,122.2,118.3,120.15,120.2,120.15,7000,4822142000.0,46113000,2736000,119.9,0.32060000000000005,0.25
2021-07-14,NTPC,2021-07-29,119.85,120.95,119.85,120.8,120.75,120.8,2262,1554161000.0,46665900,552900,120.75,0.4987,0.04999999999999716
2021-07-15,NTPC,2021-07-29,120.8,121.2,118.9,120.45,120.15,120.45,3644,2500016000.0,48831900,2166000,120.3,0.4623,0.15000000000000568
2021-07-16,NTPC,2021-07-29,120.15,120.75,118.8,119.6,119.8,119.6,2856,1946563000.0,49071300,239400,119.1,0.5911,0.5
2021-07-19,NTPC,2021-07-29,118.95,121.75,118.75,121.3,121.5,121.3,4153,2855882000.0,48159300,-912000,121.4,0.5081,-0.10000000000000853
2021-07-20,NTPC,2021-07-29,121.6,121.7,118.55,118.85,118.65,118.85,2712,1850081000.0000002,47543700,-615600,118.45,0.46590000000000004,0.3999999999999915
2021-07-22,NTPC,2021-07-29,119.3,119.75,118.7,119.5,119.4,119.5,2341,1591538000.0,46369500,-1174200,119.2,0.3041,0.29999999999999716
2021-07-23,NTPC,2021-07-29,119.2,120.0,118.45,118.75,118.8,118.75,2662,1807334000.0,46323900,-45600,118.5,0.41740000000000005,0.25
2021-07-26,NTPC,2021-07-29,118.7,120.2,118.2,119.45,119.35,119.45,5563,3792151000.0,33886500,-12437400,119.35,0.3398,0.10000000000000853
2021-07-27,NTPC,2021-07-29,119.65,119.75,118.15,118.85,118.8,118.85,3994,2706100000.0,24282000,-9604500,118.85,0.4311,0.0
2021-07-28,NTPC,2021-07-29,119.9,119.9,115.8,116.9,116.7,116.9,4116,2744219000.0,13474800,-10807200,116.8,0.46640000000000004,0.10000000000000853
