Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,SUNPHARMA,2021-07-29,676.85,689.2,676.0,687.65,687.5,687.65,4841,4641263000.0,35404600,-352800,684.15,0.524,3.5
2021-07-02,SUNPHARMA,2021-07-29,688.3,691.4,679.65,682.7,683.45,682.7,5564,5340306000.0,35625800,221200,681.25,0.3014,1.4500000000000455
2021-07-05,SUNPHARMA,2021-07-29,684.75,686.85,681.8,683.85,683.9,683.85,2102,2012974000.0000002,35449400,-176400,680.2,0.3429,3.6499999999999773
2021-07-06,SUNPHARMA,2021-07-29,680.85,685.4,676.0,676.75,676.15,676.75,3592,3422403000.0,36528800,1079400,673.25,0.5291,3.5
2021-07-07,SUNPHARMA,2021-07-29,693.5,693.5,671.5,682.85,682.6,682.85,2557,2433895000.0,36668800,140000,680.1,0.4069,2.75
2021-07-08,SUNPHARMA,2021-07-29,679.55,683.7,668.2,669.95,670.15,669.95,3231,3050405000.0,37223200,554400,666.9,0.4608,3.050000000000068
2021-07-09,SUNPHARMA,2021-07-29,669.55,673.65,666.6,671.25,671.15,671.25,2354,2210544000.0,37373000,149800,667.9,0.4142,3.3500000000000227
2021-07-12,SUNPHARMA,2021-07-29,671.05,675.0,668.05,669.8,669.3,669.8,2397,2252654000.0,37510200,137200,668.55,0.3826,1.25
2021-07-13,SUNPHARMA,2021-07-29,672.35,691.25,670.2,686.0,685.3,686.0,10496,10063924000.0,39468800,1958600,683.0,0.44560000000000005,3.0
2021-07-14,SUNPHARMA,2021-07-29,684.25,695.3,683.25,688.95,687.95,688.95,5490,5308859000.0,39832800,364000,685.95,0.3013,3.0
2021-07-15,SUNPHARMA,2021-07-29,688.6,690.3,683.55,684.9,685.2,684.9,2257,2167533000.0,40052600,219800,683.0,0.4485,1.8999999999999773
2021-07-16,SUNPHARMA,2021-07-29,684.25,698.1,684.25,691.45,691.3,691.45,4150,4027308999.9999995,40255600,203000,688.6,0.262,2.8500000000000227
2021-07-19,SUNPHARMA,2021-07-29,682.85,694.0,682.85,690.2,690.15,690.2,3514,3388939000.0,39312000,-943600,689.25,0.348,0.9500000000000455
2021-07-20,SUNPHARMA,2021-07-29,690.2,693.6,676.5,678.65,677.6,678.65,3936,3777207000.0,38819200,-492800,676.45,0.4686,2.199999999999932
2021-07-22,SUNPHARMA,2021-07-29,678.75,688.7,676.55,687.7,687.3,687.7,2913,2786894000.0,37699200,-1120000,687.3,0.45520000000000005,0.40000000000009095
2021-07-23,SUNPHARMA,2021-07-29,688.1,700.35,682.55,695.4,696.75,695.4,17540,17081851999.999998,24269000,-13430200,694.0,0.33899999999999997,1.3999999999999773
2021-07-26,SUNPHARMA,2021-07-29,696.25,704.9,696.05,702.8,701.7,702.8,9999,9831821000.0,19082000,-5187000,703.4,0.478,-0.6000000000000227
2021-07-27,SUNPHARMA,2021-07-29,704.1,705.65,673.3,687.35,686.95,687.35,10237,9912538000.0,15723400,-3358600,688.3,0.4532,-0.9499999999999318
2021-07-28,SUNPHARMA,2021-07-29,688.1,693.0,673.0,686.95,686.45,686.95,7127,6815682000.000001,9851800,-5871600,687.8,0.36719999999999997,-0.849999999999909
