Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-07-01,TATACHEM,2021-07-29,725.2,731.5,723.3,726.2,727.85,726.2,1562,1135757000.0,6513000,-79000,723.05,0.2532,3.150000000000091
2021-07-02,TATACHEM,2021-07-29,725.0,773.8,725.0,770.95,770.9,770.95,17528,13288534000.0,8766000,2253000,767.7,0.2188,3.25
2021-07-05,TATACHEM,2021-07-29,775.0,782.95,763.85,775.25,774.25,775.25,8084,6266316000.0,8834000,68000,773.45,0.153,1.7999999999999545
2021-07-06,TATACHEM,2021-07-29,774.85,783.5,758.3,763.65,763.4,763.65,4952,3822135000.0,8272000,-562000,759.95,0.21960000000000002,3.699999999999932
2021-07-07,TATACHEM,2021-07-29,761.45,775.9,758.8,774.4,774.8,774.4,2984,2296775000.0,8256000,-16000,770.0,0.2018,4.399999999999977
2021-07-08,TATACHEM,2021-07-29,776.05,782.55,759.15,767.55,767.5,767.55,4384,3388658000.0,8251000,-5000,764.3,0.1521,3.25
2021-07-09,TATACHEM,2021-07-29,764.3,779.95,762.6,769.7,771.5,769.7,4190,3228668000.0,8600000,349000,764.9,0.2527,4.800000000000068
2021-07-12,TATACHEM,2021-07-29,771.75,795.2,770.0,781.85,778.7,781.85,8130,6383445000.0,9149000,549000,778.9,0.1979,2.9500000000000455
2021-07-13,TATACHEM,2021-07-29,786.9,787.7,773.65,785.8,787.45,785.8,3702,2895030000.0,9267000,118000,782.95,0.1729,2.849999999999909
2021-07-14,TATACHEM,2021-07-29,787.0,794.2,777.1,779.25,779.65,779.25,3706,2909101000.0,9296000,29000,777.3,0.23140000000000002,1.9500000000000455
2021-07-15,TATACHEM,2021-07-29,781.85,784.0,775.35,781.05,780.55,781.05,2101,1638557000.0,9083000,-213000,777.8,0.2661,3.25
2021-07-16,TATACHEM,2021-07-29,780.55,788.5,776.7,784.2,783.75,784.2,2513,1969708000.0000002,8848000,-235000,781.0,0.2776,3.2000000000000455
2021-07-19,TATACHEM,2021-07-29,776.05,798.0,772.55,782.25,782.35,782.25,5196,4077775000.0,8861000,13000,779.65,0.184,2.6000000000000227
2021-07-20,TATACHEM,2021-07-29,776.75,786.95,756.0,760.1,757.0,760.1,4066,3127843000.0,8313000,-548000,759.65,0.21670000000000003,0.4500000000000455
2021-07-22,TATACHEM,2021-07-29,764.9,768.3,759.55,765.05,766.5,765.05,2183,1668072000.0,8242000,-71000,762.7,0.2371,2.349999999999909
2021-07-23,TATACHEM,2021-07-29,767.95,772.3,752.75,755.1,753.6,755.1,2680,2035358000.0000002,7339000,-903000,755.05,0.2681,0.05000000000006821
2021-07-26,TATACHEM,2021-07-29,752.7,766.0,742.55,759.15,758.7,759.15,4529,3440762999.9999995,5475000,-1864000,758.3,0.1244,0.8500000000000227
2021-07-27,TATACHEM,2021-07-29,760.4,763.45,739.0,743.5,743.95,743.5,4552,3424404000.0,3134000,-2341000,743.6,0.2737,-0.10000000000002274
2021-07-28,TATACHEM,2021-07-29,742.25,747.0,729.35,740.55,738.65,740.55,2866,2120002000.0,2236000,-898000,738.75,0.3128,1.7999999999999545
