Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,BPCL,2021-08-26,448.8,461.9,447.15,460.25,461.65,460.25,5123,4206861000.0,37540800,-808200,457.8,0.503,2.4499999999999886
2021-08-03,BPCL,2021-08-26,461.9,466.95,457.05,465.0,464.95,465.0,4538,3777525000.0,38145600,604800,463.4,0.4612,1.6000000000000227
2021-08-04,BPCL,2021-08-26,465.25,466.95,457.25,458.95,458.75,458.95,3047,2532046000.0,38199600,54000,457.15,0.45439999999999997,1.8000000000000114
2021-08-05,BPCL,2021-08-26,457.65,459.9,452.0,455.3,455.2,455.3,2996,2454444000.0,38754000,554400,453.5,0.47840000000000005,1.8000000000000114
2021-08-06,BPCL,2021-08-26,457.35,464.5,454.9,457.35,457.65,457.35,3909,3238436000.0,39002400,248400,455.6,0.3523,1.75
2021-08-09,BPCL,2021-08-26,458.95,460.05,450.85,453.9,454.55,453.9,2810,2299214000.0,39645000,642600,452.5,0.42200000000000004,1.3999999999999773
2021-08-10,BPCL,2021-08-26,455.45,455.9,442.7,445.6,445.0,445.6,3382,2728275000.0,39535200,-109800,444.7,0.5497,0.9000000000000341
2021-08-11,BPCL,2021-08-26,447.85,452.7,442.0,451.55,452.5,451.55,4534,3662319999.9999995,39277800,-257400,450.0,0.34450000000000003,1.5500000000000114
2021-08-12,BPCL,2021-08-26,452.1,455.5,442.05,449.05,448.55,449.05,8323,6729673000.0,35688600,-3589200,448.15,0.30010000000000003,0.9000000000000341
2021-08-13,BPCL,2021-08-26,451.15,458.5,449.35,454.7,454.85,454.7,6940,5679325000.0,32713200,-2975400,454.9,0.36560000000000004,-0.19999999999998863
2021-08-16,BPCL,2021-08-26,457.3,468.4,454.6,465.0,465.0,465.0,6875,5725960000.0,31309200,-1404000,464.0,0.3678,1.0
2021-08-17,BPCL,2021-08-26,466.4,469.6,460.65,465.35,464.3,465.35,5536,4637406000.0,30191400,-1117800,465.0,0.36560000000000004,0.35000000000002274
2021-08-18,BPCL,2021-08-26,465.95,466.2,460.7,463.25,462.35,463.25,3411,2843646000.0,28380600,-1810800,463.5,0.4678,-0.25
2021-08-20,BPCL,2021-08-26,460.7,465.2,452.5,454.45,453.05,454.45,4731,3897690000.0,25549200,-2831400,455.2,0.5065,-0.75
2021-08-23,BPCL,2021-08-26,457.8,458.5,447.3,452.45,452.5,452.45,5663,4615344000.0,19116000,-6433200,451.7,0.47240000000000004,0.75
2021-08-24,BPCL,2021-08-26,453.85,459.4,452.65,456.9,456.5,456.9,6991,5741778000.0,11489400,-7626600,456.4,0.45310000000000006,0.5
2021-08-25,BPCL,2021-08-26,458.0,463.9,456.85,461.4,461.5,461.4,6377,5292053000.0,5648400,-5841000,460.7,0.5052000000000001,0.6999999999999886
