Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,HEROMOTOCO,2021-08-26,2780.0,2804.2,2773.1,2794.05,2796.0,2794.05,3158,2643227000.0,4220700,-100500,2782.2,0.5164,11.850000000000364
2021-08-03,HEROMOTOCO,2021-08-26,2798.2,2828.75,2791.2,2826.45,2825.9,2826.45,3873,3271459000.0,4058700,-162000,2819.1,0.2992,7.349999999999909
2021-08-04,HEROMOTOCO,2021-08-26,2824.05,2838.1,2802.45,2808.8,2808.5,2808.8,2820,2386662000.0,4102200,43500,2805.5,0.5071,3.300000000000182
2021-08-05,HEROMOTOCO,2021-08-26,2809.25,2835.15,2787.45,2821.2,2820.5,2821.2,2652,2239616000.0,4177200,75000,2818.8,0.35479999999999995,2.399999999999636
2021-08-06,HEROMOTOCO,2021-08-26,2829.5,2855.0,2815.0,2841.35,2842.05,2841.35,3574,3043127000.0,4062600,-114600,2833.8,0.4232,7.549999999999727
2021-08-09,HEROMOTOCO,2021-08-26,2839.15,2869.8,2826.25,2840.0,2841.0,2840.0,3442,2940322000.0,4080600,18000,2836.3,0.35380000000000006,3.699999999999818
2021-08-10,HEROMOTOCO,2021-08-26,2841.7,2849.0,2797.0,2806.55,2809.0,2806.55,4071,3443881000.0,4253400,172800,2797.05,0.5074000000000001,9.5
2021-08-11,HEROMOTOCO,2021-08-26,2802.1,2820.0,2761.2,2791.35,2792.9,2791.35,3767,3146282000.0,4365000,111600,2781.6,0.5311,9.75
2021-08-12,HEROMOTOCO,2021-08-26,2803.05,2808.85,2781.65,2789.8,2791.0,2789.8,2696,2259255000.0,4429800,64800,2782.95,0.46840000000000004,6.850000000000364
2021-08-13,HEROMOTOCO,2021-08-26,2791.0,2818.0,2752.35,2777.65,2776.05,2777.65,6650,5556967000.0,4598400,168600,2772.2,0.3655,5.450000000000273
2021-08-16,HEROMOTOCO,2021-08-26,2775.0,2775.0,2740.65,2745.2,2742.45,2745.2,3747,3093533000.0,4724700,126300,2747.35,0.4428,-2.150000000000091
2021-08-17,HEROMOTOCO,2021-08-26,2751.3,2790.5,2710.45,2782.35,2783.05,2782.35,5882,4847812000.0,4609500,-115200,2782.6,0.4499,-0.25
2021-08-18,HEROMOTOCO,2021-08-26,2781.05,2799.0,2750.15,2766.35,2766.85,2766.35,3121,2590472000.0,4485300,-124200,2763.6,0.5136999999999999,2.75
2021-08-20,HEROMOTOCO,2021-08-26,2735.0,2744.0,2682.65,2693.1,2688.6,2693.1,5510,4486038000.0,4096800,-388500,2697.5,0.5374,-4.400000000000091
2021-08-23,HEROMOTOCO,2021-08-26,2693.05,2701.8,2654.1,2678.25,2678.55,2678.25,7293,5852912000.0,3138000,-958800,2680.6,0.4902,-2.349999999999909
2021-08-24,HEROMOTOCO,2021-08-26,2709.95,2709.95,2652.2,2681.9,2681.0,2681.9,5921,4747198000.0,2178000,-960000,2675.85,0.5765,6.050000000000182
2021-08-25,HEROMOTOCO,2021-08-26,2689.55,2710.5,2670.45,2674.65,2674.95,2674.65,5108,4116362000.0000005,1400700,-777300,2673.95,0.4329,0.7000000000002728
