Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,HINDALCO,2021-08-26,447.45,450.5,441.45,444.2,444.3,444.2,5066,4851431000.0,37212200,-410650,445.8,0.24670000000000003,-1.6000000000000227
2021-08-03,HINDALCO,2021-08-26,438.3,448.85,438.25,446.35,446.2,446.35,5425,5180729000.0,36360800,-851400,448.8,0.2536,-2.4499999999999886
2021-08-04,HINDALCO,2021-08-26,445.5,453.15,438.2,440.6,440.5,440.6,6429,6149184000.0,35449200,-911600,442.7,0.1949,-2.099999999999966
2021-08-05,HINDALCO,2021-08-26,440.95,443.8,430.6,441.9,441.7,441.9,7937,7466737000.0,35814700,365500,443.1,0.2904,-1.2000000000000455
2021-08-06,HINDALCO,2021-08-26,443.3,453.4,436.9,439.4,438.7,439.4,15981,15305689000.000002,35679250,-135450,442.15,0.10779999999999999,-2.75
2021-08-09,HINDALCO,2021-08-26,440.4,442.7,426.5,432.65,432.6,432.65,7720,7202882000.000001,35982400,303150,434.7,0.2595,-2.0500000000000114
2021-08-10,HINDALCO,2021-08-26,433.5,436.95,421.0,425.15,423.5,425.15,5749,5296387000.0,35950150,-32250,426.95,0.3433,-1.8000000000000114
2021-08-11,HINDALCO,2021-08-26,429.9,441.95,427.4,435.05,434.95,435.05,11334,10616260000.0,36846700,896550,436.65,0.1786,-1.599999999999966
2021-08-12,HINDALCO,2021-08-26,437.9,445.25,434.45,438.7,439.2,438.7,6811,6437839000.0,37440100,593400,437.25,0.2076,1.4499999999999886
2021-08-13,HINDALCO,2021-08-26,437.9,450.75,436.0,443.05,443.3,443.05,11305,10806236000.0,37444400,4300,442.05,0.14250000000000002,1.0
2021-08-16,HINDALCO,2021-08-26,443.35,447.2,436.5,441.95,441.4,441.95,6242,5923180000.0,37274550,-169850,441.75,0.1754,0.19999999999998863
2021-08-17,HINDALCO,2021-08-26,440.25,444.3,429.0,436.0,436.0,436.0,7822,7343678999.999999,36969250,-305300,436.6,0.2278,-0.6000000000000227
2021-08-18,HINDALCO,2021-08-26,437.0,439.8,425.2,427.8,427.95,427.8,5604,5191884000.0,36558600,-410650,426.95,0.4073,0.8500000000000227
2021-08-20,HINDALCO,2021-08-26,418.8,418.8,400.9,403.0,401.55,403.0,10982,9601695000.0,33746400,-2812200,403.65,0.4415,-0.6499999999999773
2021-08-23,HINDALCO,2021-08-26,411.7,415.8,399.05,407.4,408.25,407.4,12106,10630866000.0,26008550,-7737850,406.85,0.19649999999999998,0.5499999999999545
2021-08-24,HINDALCO,2021-08-26,416.15,423.65,412.8,421.05,422.5,421.05,10622,9585340000.0,18569550,-7439000,420.85,0.12380000000000001,0.19999999999998863
2021-08-25,HINDALCO,2021-08-26,425.05,434.7,424.8,430.2,431.1,430.2,10321,9542653000.0,9915800,-8653750,430.7,0.27899999999999997,-0.5
