Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,ICICIBANK,2021-08-26,686.5,690.25,680.2,684.7,685.2,684.7,9071,8551609000.0,68272875,801625,681.4,0.6329,3.300000000000068
2021-08-03,ICICIBANK,2021-08-26,682.95,692.65,679.3,691.75,691.45,691.75,13792,13007868000.0,67042250,-1230625,690.4,0.5097,1.3500000000000227
2021-08-04,ICICIBANK,2021-08-26,694.8,717.8,694.0,714.85,713.65,714.85,28490,27805392000.0,68488750,1446500,714.65,0.4489,0.20000000000004547
2021-08-05,ICICIBANK,2021-08-26,716.65,716.65,702.1,704.9,704.6,704.9,16203,15766057999.999998,70266625,1777875,702.45,0.6108,2.449999999999932
2021-08-06,ICICIBANK,2021-08-26,706.5,708.35,698.25,700.8,702.7,700.8,11808,11397123000.0,72099500,1832875,697.65,0.6653,3.1499999999999773
2021-08-09,ICICIBANK,2021-08-26,700.1,708.7,697.0,705.2,705.15,705.2,9919,9591095000.0,72470750,371250,702.85,0.5131,2.3500000000000227
2021-08-10,ICICIBANK,2021-08-26,706.0,710.45,699.7,703.2,703.65,703.2,11500,11143687000.0,74765625,2294875,700.9,0.5751,2.300000000000068
2021-08-11,ICICIBANK,2021-08-26,707.2,707.65,692.1,696.0,695.95,696.0,12285,11764858000.0,76396375,1630750,693.55,0.5872999999999999,2.4500000000000455
2021-08-12,ICICIBANK,2021-08-26,696.35,704.45,694.85,702.8,704.0,702.8,7597,7317027000.0,76034750,-361625,701.35,0.6064,1.4499999999999318
2021-08-13,ICICIBANK,2021-08-26,707.5,711.3,701.1,706.5,706.95,706.5,11327,11009235000.0,76076000,41250,704.8,0.5672,1.7000000000000455
2021-08-16,ICICIBANK,2021-08-26,703.95,708.65,700.1,704.5,704.55,704.5,8361,8091863000.0,75024125,-1051875,702.65,0.6516,1.8500000000000227
2021-08-17,ICICIBANK,2021-08-26,700.6,703.95,692.7,702.35,702.75,702.35,9747,9358689000.0,74472750,-551375,701.2,0.5824,1.1499999999999773
2021-08-18,ICICIBANK,2021-08-26,702.0,702.05,684.25,689.35,688.05,689.35,17900,17043482999.999998,68963125,-5509625,688.3,0.4902,1.0500000000000682
2021-08-20,ICICIBANK,2021-08-26,681.15,684.95,675.8,681.95,682.2,681.95,15414,14419882999.999998,62587250,-6375875,680.7,0.5805,1.25
2021-08-23,ICICIBANK,2021-08-26,688.0,688.8,675.1,683.7,682.9,683.7,20003,18740426000.0,48042500,-14544750,682.7,0.5861,1.0
2021-08-24,ICICIBANK,2021-08-26,684.6,697.9,681.2,695.3,694.25,695.3,22613,21445956000.0,29757750,-18284750,694.45,0.51,0.849999999999909
2021-08-25,ICICIBANK,2021-08-26,699.0,702.25,687.05,691.3,690.75,691.3,17850,17007749000.0,13396625,-16361125,691.05,0.4496,0.25
