Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,JSWSTEEL,2021-08-26,743.6,753.9,734.55,748.15,749.55,748.15,7115,7166922000.0,44995500,446850,746.7,0.262,1.4499999999999318
2021-08-03,JSWSTEEL,2021-08-26,725.5,745.0,725.5,741.2,741.0,741.2,7992,7965734000.0,43780500,-1215000,740.3,0.2452,0.900000000000091
2021-08-04,JSWSTEEL,2021-08-26,740.2,756.7,736.8,748.3,747.2,748.3,7952,8018036000.0,43025850,-754650,747.25,0.21420000000000003,1.0499999999999545
2021-08-05,JSWSTEEL,2021-08-26,747.65,768.5,741.8,766.3,766.95,766.3,12983,13281007999.999998,43526700,500850,763.25,0.2049,3.0499999999999545
2021-08-06,JSWSTEEL,2021-08-26,769.45,777.6,756.7,758.6,757.85,758.6,10622,10979066000.0,43825050,298350,757.35,0.11900000000000001,1.25
2021-08-09,JSWSTEEL,2021-08-26,761.0,763.05,743.55,749.15,747.6,749.15,5932,6033313000.0,43258050,-567000,747.35,0.1841,1.7999999999999545
2021-08-10,JSWSTEEL,2021-08-26,747.35,751.45,722.0,724.35,722.3,724.35,6927,6872703999.999999,43341750,83700,722.15,0.2977,2.2000000000000455
2021-08-11,JSWSTEEL,2021-08-26,730.25,754.4,730.0,751.65,750.4,751.65,10720,10788549000.0,43974900,633150,749.1,0.1943,2.5499999999999545
2021-08-12,JSWSTEEL,2021-08-26,756.7,756.7,743.35,751.2,750.25,751.2,3953,4007336000.0,43914150,-60750,748.9,0.1542,2.300000000000068
2021-08-13,JSWSTEEL,2021-08-26,747.1,759.5,733.2,750.8,749.6,750.8,8431,8512955000.0,44477100,562950,749.05,0.1602,1.75
2021-08-16,JSWSTEEL,2021-08-26,747.35,772.0,739.55,763.6,761.5,763.6,27466,28059665000.000004,27588600,-16888500,761.65,0.17190000000000003,1.9500000000000455
2021-08-17,JSWSTEEL,2021-08-26,760.1,764.2,736.3,745.1,744.25,745.1,10074,10197034000.0,26009100,-1579500,744.25,0.1963,0.8500000000000227
2021-08-18,JSWSTEEL,2021-08-26,748.15,749.9,733.0,737.55,736.95,737.55,7494,7494745000.0,24509250,-1499850,737.45,0.2612,0.09999999999990905
2021-08-20,JSWSTEEL,2021-08-26,720.0,721.9,681.6,685.6,684.55,685.6,15500,14601621000.0,23021550,-1487700,684.6,0.2397,1.0
2021-08-23,JSWSTEEL,2021-08-26,695.8,701.6,664.65,684.35,683.6,684.35,17774,16372031000.0,15282000,-7739550,684.2,0.18239999999999998,0.14999999999997726
2021-08-24,JSWSTEEL,2021-08-26,690.55,698.0,682.35,692.95,693.0,692.95,11469,10682271000.0,8884350,-6397650,691.65,0.2183,1.3000000000000682
2021-08-25,JSWSTEEL,2021-08-26,695.1,700.85,679.45,683.75,683.15,683.75,6683,6240063000.0,5256900,-3627450,683.85,0.20829999999999999,-0.10000000000002274
