Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,KOTAKBANK,2021-08-26,1667.15,1678.6,1659.8,1666.95,1669.0,1666.95,7747,5174636000.0,17382800,-400400,1665.1,0.528,1.8500000000001364
2021-08-03,KOTAKBANK,2021-08-26,1668.8,1691.0,1662.25,1687.35,1689.7,1687.35,10860,7292044000.0,16822800,-560000,1685.65,0.6042000000000001,1.699999999999818
2021-08-04,KOTAKBANK,2021-08-26,1680.0,1752.95,1676.0,1749.9,1752.15,1749.9,24472,16932875000.0,14702800,-2120000,1749.95,0.6391,-0.049999999999954525
2021-08-05,KOTAKBANK,2021-08-26,1759.85,1792.0,1752.35,1771.4,1769.95,1771.4,18766,13317646000.0,14092400,-610400,1771.75,0.6024,-0.34999999999990905
2021-08-06,KOTAKBANK,2021-08-26,1771.4,1784.3,1758.65,1776.95,1779.45,1776.95,9487,6737203000.0,14091200,-1200,1777.2,0.6938,-0.25
2021-08-09,KOTAKBANK,2021-08-26,1776.2,1791.75,1769.75,1780.9,1781.8,1780.9,6030,4294331000.0,14176000,84800,1780.9,0.6197,0.0
2021-08-10,KOTAKBANK,2021-08-26,1780.9,1824.15,1778.1,1811.5,1808.65,1811.5,13828,10018636000.0,13814400,-361600,1813.25,0.48100000000000004,-1.75
2021-08-11,KOTAKBANK,2021-08-26,1817.4,1818.65,1767.15,1784.0,1782.3,1784.0,11460,8196134000.0,13343600,-470800,1780.6,0.5876,3.400000000000091
2021-08-12,KOTAKBANK,2021-08-26,1779.3,1789.75,1763.1,1786.8,1789.0,1786.8,5858,4171690000.0,13569200,225600,1787.7,0.5477000000000001,-0.900000000000091
2021-08-13,KOTAKBANK,2021-08-26,1782.2,1798.0,1776.05,1787.1,1786.75,1787.1,6049,4320681000.0,13565200,-4000,1788.0,0.5803,-0.900000000000091
2021-08-16,KOTAKBANK,2021-08-26,1780.75,1799.7,1774.35,1782.95,1782.2,1782.95,4760,3403044999.9999995,13384400,-180800,1782.35,0.5078,0.6000000000001364
2021-08-17,KOTAKBANK,2021-08-26,1784.05,1794.05,1777.15,1787.35,1787.9,1787.35,5568,3973848000.0000005,12967600,-416800,1788.35,0.5702,-1.0
2021-08-18,KOTAKBANK,2021-08-26,1792.95,1793.0,1747.5,1751.55,1748.1,1751.55,8740,6174908000.0,12222800,-744800,1749.7,0.589,1.849999999999909
2021-08-20,KOTAKBANK,2021-08-26,1734.6,1734.6,1697.5,1706.15,1708.0,1706.15,15882,10862556000.0,10953600,-1269200,1703.55,0.6491,2.6000000000001364
2021-08-23,KOTAKBANK,2021-08-26,1723.0,1723.55,1702.0,1718.2,1717.1,1718.2,11850,8115721000.000001,8413600,-2540000,1716.85,0.685,1.3500000000001364
2021-08-24,KOTAKBANK,2021-08-26,1719.4,1728.15,1691.9,1707.55,1705.8,1707.55,15631,10660731000.0,4976400,-3437200,1704.9,0.6315,2.6499999999998636
2021-08-25,KOTAKBANK,2021-08-26,1705.35,1717.65,1696.5,1698.8,1697.65,1698.8,8374,5713358000.0,3194400,-1782000,1697.2,0.5546,1.599999999999909
