Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,ONGC,2021-08-26,115.5,117.45,114.4,117.05,117.2,117.05,1672,1501371000.0,43774500,-1047200,117.1,0.4181,-0.04999999999999716
2021-08-03,ONGC,2021-08-26,116.4,117.7,114.95,117.5,117.4,117.5,2121,1900825000.0,43512700,-261800,117.9,0.5773,-0.4000000000000057
2021-08-04,ONGC,2021-08-26,119.0,119.0,116.55,117.05,116.95,117.05,1675,1510617000.0,42534800,-977900,117.35,0.6020000000000001,-0.29999999999999716
2021-08-05,ONGC,2021-08-26,116.3,117.0,114.35,116.5,116.35,116.5,1852,1651229000.0,42203700,-331100,116.85,0.46909999999999996,-0.3499999999999943
2021-08-06,ONGC,2021-08-26,116.5,118.2,116.3,117.1,117.05,117.1,1854,1671493000.0,42296100,92400,116.65,0.35000000000000003,0.44999999999998863
2021-08-09,ONGC,2021-08-26,116.05,117.15,114.25,115.05,115.0,115.05,1939,1726778000.0,42180600,-115500,115.0,0.40380000000000005,0.04999999999999716
2021-08-10,ONGC,2021-08-26,114.95,115.8,113.55,114.7,114.55,114.7,1636,1444235000.0,40617500,-1563100,114.85,0.5226,-0.14999999999999147
2021-08-11,ONGC,2021-08-26,114.95,117.7,114.95,117.4,117.7,117.4,2272,2038597000.0,40910100,292600,117.0,0.42240000000000005,0.4000000000000057
2021-08-12,ONGC,2021-08-26,117.15,118.2,115.75,116.6,116.75,116.6,1824,1642393999.9999998,42819700,1909600,116.25,0.47020000000000006,0.3499999999999943
2021-08-13,ONGC,2021-08-26,117.1,117.1,115.6,116.3,116.05,116.3,1860,1665300000.0,43474200,654500,116.1,0.3848,0.20000000000000284
2021-08-16,ONGC,2021-08-26,116.95,118.6,114.75,115.65,115.6,115.65,2912,2608361000.0,44051700,577500,115.5,0.2445,0.15000000000000568
2021-08-17,ONGC,2021-08-26,115.55,115.95,112.6,113.95,113.9,113.95,2776,2440980000.0,39816700,-4235000,113.85,0.4353,0.10000000000000853
2021-08-18,ONGC,2021-08-26,114.5,115.25,113.25,113.55,113.5,113.55,1671,1470232000.0,37676100,-2140600,113.2,0.4376,0.3499999999999943
2021-08-20,ONGC,2021-08-26,110.7,111.5,108.4,110.15,109.5,110.15,3375,2862048000.0,35112000,-2564100,110.2,0.43560000000000004,-0.04999999999999716
2021-08-23,ONGC,2021-08-26,111.45,112.15,108.05,111.8,112.0,111.8,4071,3451657000.0,29752800,-5359200,111.75,0.3045,0.04999999999999716
2021-08-24,ONGC,2021-08-26,113.6,115.35,112.35,113.5,113.5,113.5,4000,3498205000.0000005,21321300,-8431500,113.2,0.2597,0.29999999999999716
2021-08-25,ONGC,2021-08-26,114.05,117.25,113.45,115.75,115.8,115.75,3328,2961194000.0,10402700,-10918600,115.65,0.2725,0.09999999999999432
