Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,RELIANCE,2021-08-26,2053.5,2084.7,2045.75,2075.85,2073.8,2075.85,25066,12972233000.0,35283250,-1117000,2072.5,0.5933,3.349999999999909
2021-08-03,RELIANCE,2021-08-26,2080.0,2094.7,2067.35,2090.35,2094.0,2090.35,26143,13605557999.999998,34981500,-301750,2087.75,0.5437,2.599999999999909
2021-08-04,RELIANCE,2021-08-26,2095.55,2116.85,2088.25,2105.1,2107.6,2105.1,37946,19967058000.0,33594000,-1387500,2103.75,0.5828,1.349999999999909
2021-08-05,RELIANCE,2021-08-26,2111.0,2159.9,2107.7,2136.0,2134.8,2136.0,57896,30884115000.000004,33689500,95500,2134.25,0.4662,1.75
2021-08-06,RELIANCE,2021-08-26,2133.75,2148.0,2080.15,2090.2,2092.2,2090.2,58485,30770077000.0,34006000,316500,2089.05,0.41950000000000004,1.1499999999996362
2021-08-09,RELIANCE,2021-08-26,2082.35,2091.65,2071.3,2079.65,2082.1,2079.65,18604,9674851000.0,34090000,84000,2077.15,0.4594,2.5
2021-08-10,RELIANCE,2021-08-26,2080.65,2115.5,2078.1,2091.5,2091.5,2091.5,31744,16647887000.0,33509000,-581000,2088.05,0.3898,3.449999999999818
2021-08-11,RELIANCE,2021-08-26,2096.05,2121.0,2085.3,2117.8,2117.95,2117.8,27538,14490696000.0,31973000,-1536000,2117.3,0.4929,0.5
2021-08-12,RELIANCE,2021-08-26,2124.3,2127.0,2101.2,2109.95,2111.5,2109.95,18810,9946046000.0,31967250,-5750,2110.5,0.5061,-0.5500000000001819
2021-08-13,RELIANCE,2021-08-26,2115.4,2152.9,2111.0,2143.8,2144.0,2143.8,35162,18749425000.0,31478250,-489000,2145.65,0.5542,-1.849999999999909
2021-08-16,RELIANCE,2021-08-26,2146.8,2202.7,2127.45,2170.85,2167.95,2170.85,68265,37141899000.0,30058000,-1420250,2173.5,0.41340000000000005,-2.650000000000091
2021-08-17,RELIANCE,2021-08-26,2163.6,2184.55,2146.65,2162.25,2161.05,2162.25,30454,16487189000.000002,29986000,-72000,2164.25,0.5234000000000001,-2.0
2021-08-18,RELIANCE,2021-08-26,2171.55,2184.9,2152.45,2172.6,2171.0,2172.6,23945,12982097000.0,28897000,-1089000,2172.65,0.49200000000000005,-0.0500000000001819
2021-08-20,RELIANCE,2021-08-26,2143.0,2170.85,2135.5,2144.45,2140.0,2144.45,34033,18323557000.0,25655000,-3242000,2148.25,0.4315,-3.800000000000182
2021-08-23,RELIANCE,2021-08-26,2162.85,2168.2,2129.85,2160.05,2158.9,2160.05,46784,25194076000.0,19192000,-6463000,2162.35,0.5139,-2.299999999999727
2021-08-24,RELIANCE,2021-08-26,2163.4,2189.0,2156.6,2180.85,2178.0,2180.85,48732,26466807000.0,12102500,-7089500,2183.7,0.5571,-2.849999999999909
2021-08-25,RELIANCE,2021-08-26,1970.0,2221.95,1970.0,2204.1,2204.95,2204.1,45552,25102649000.0,6952000,-5150500,2202.6,0.39420000000000005,1.5
