Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,SBIN,2021-08-26,435.4,438.5,432.9,435.6,435.0,435.6,15466,10110211000.0,87910500,-1509000,434.9,0.34240000000000004,0.7000000000000455
2021-08-03,SBIN,2021-08-26,435.0,449.7,434.3,447.4,446.7,447.4,36558,24302403000.0,83838000,-4072500,446.5,0.40770000000000006,0.8999999999999773
2021-08-04,SBIN,2021-08-26,447.0,468.9,442.0,458.2,457.9,458.2,128944,88104408000.0,88666500,4828500,456.95,0.17629999999999998,1.25
2021-08-05,SBIN,2021-08-26,462.4,463.3,438.85,443.15,443.0,443.15,52115,35032931000.0,96621000,7954500,441.85,0.2741,1.2999999999999545
2021-08-06,SBIN,2021-08-26,443.2,447.55,435.8,437.5,439.0,437.5,27275,18016393000.0,100590000,3969000,435.65,0.3821,1.8500000000000227
2021-08-09,SBIN,2021-08-26,439.0,442.8,431.85,435.1,435.75,435.1,20589,13508901999.999998,98764500,-1825500,433.4,0.2451,1.7000000000000455
2021-08-10,SBIN,2021-08-26,435.4,437.35,422.7,427.8,427.5,427.8,25138,16204153000.0,99646500,882000,426.45,0.3566,1.3500000000000227
2021-08-11,SBIN,2021-08-26,429.6,434.0,424.3,429.65,429.75,429.65,21270,13690079000.0,97677000,-1969500,428.05,0.3037,1.599999999999966
2021-08-12,SBIN,2021-08-26,430.9,431.45,426.3,428.65,428.9,428.65,12846,8257800000.0,99544500,1867500,427.15,0.3472,1.5
2021-08-13,SBIN,2021-08-26,429.5,432.8,425.3,431.8,431.4,431.8,18108,11665983000.0,98766000,-778500,431.2,0.3611,0.6000000000000227
2021-08-16,SBIN,2021-08-26,430.35,434.3,425.1,426.05,425.2,426.05,13497,8680632000.0,100284000,1518000,424.85,0.39990000000000003,1.1999999999999886
2021-08-17,SBIN,2021-08-26,425.5,426.45,414.7,421.45,421.15,421.45,27201,17151769000.0,92197500,-8086500,421.5,0.3064,-0.05000000000001137
2021-08-18,SBIN,2021-08-26,423.0,424.5,418.0,419.5,418.9,419.5,16249,10269785000.0,89593500,-2604000,419.7,0.2856,-0.19999999999998863
2021-08-20,SBIN,2021-08-26,414.0,417.0,405.15,406.35,405.4,406.35,27841,17157557000.0,77802000,-11791500,406.7,0.3539,-0.3499999999999659
2021-08-23,SBIN,2021-08-26,409.9,412.8,400.85,409.65,408.65,409.65,28805,17641296000.0,61111500,-16690500,409.5,0.3751,0.14999999999997726
2021-08-24,SBIN,2021-08-26,410.5,419.45,408.35,418.25,417.95,418.25,27800,17310454000.0,42396000,-18715500,417.6,0.23600000000000002,0.6499999999999773
2021-08-25,SBIN,2021-08-26,419.05,422.7,414.1,416.0,416.2,416.0,19787,12374276000.0,24753000,-17643000,416.25,0.3062,-0.25
