Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,TATASTEEL,2021-08-26,1455.0,1455.0,1409.0,1417.4,1420.75,1417.4,16561,20046684000.0,42364850,-89250,1410.05,0.2129,7.350000000000136
2021-08-03,TATASTEEL,2021-08-26,1417.0,1427.05,1395.5,1413.35,1413.45,1413.35,17245,20684412000.0,42652150,287300,1407.2,0.23170000000000002,6.149999999999864
2021-08-04,TATASTEEL,2021-08-26,1421.25,1452.0,1406.65,1420.1,1420.4,1420.1,19609,23819978000.0,42706550,54400,1416.2,0.1362,3.8999999999998636
2021-08-05,TATASTEEL,2021-08-26,1420.05,1456.75,1392.0,1452.65,1455.4,1452.65,34522,41843255000.0,47072150,4365600,1446.6,0.3042,6.050000000000182
2021-08-06,TATASTEEL,2021-08-26,1456.9,1462.75,1431.5,1434.65,1434.5,1434.65,19419,23852208000.0,48499300,1427150,1428.85,0.2005,5.800000000000182
2021-08-09,TATASTEEL,2021-08-26,1433.0,1448.3,1408.6,1417.0,1414.0,1417.0,16704,20251251000.0,48456800,-42500,1412.2,0.1589,4.7999999999999545
2021-08-10,TATASTEEL,2021-08-26,1411.6,1422.15,1370.9,1377.9,1377.0,1377.9,19629,23305083000.0,48199250,-257550,1373.6,0.21739999999999998,4.300000000000182
2021-08-11,TATASTEEL,2021-08-26,1398.0,1434.95,1388.15,1431.35,1432.95,1431.35,30361,36489532000.0,48494200,294950,1426.2,0.1577,5.149999999999864
2021-08-12,TATASTEEL,2021-08-26,1439.95,1446.0,1416.85,1435.4,1433.8,1435.4,20316,24731473000.0,47245550,-1248650,1435.35,0.2849,0.0500000000001819
2021-08-13,TATASTEEL,2021-08-26,1410.0,1479.05,1384.45,1464.75,1473.0,1464.75,63457,77652935000.0,47969750,724200,1461.65,0.1423,3.099999999999909
2021-08-16,TATASTEEL,2021-08-26,1484.0,1533.35,1471.0,1517.35,1512.95,1517.35,49821,63568168000.00001,46493300,-1476450,1519.4,0.1789,-2.050000000000182
2021-08-17,TATASTEEL,2021-08-26,1517.6,1533.0,1489.45,1502.7,1501.6,1502.7,35781,45986662000.0,43508100,-2985200,1503.7,0.204,-1.0
2021-08-18,TATASTEEL,2021-08-26,1508.7,1518.0,1487.4,1501.15,1499.0,1501.15,22294,28478434999.999996,41889700,-1618400,1500.45,0.2555,0.7000000000000455
2021-08-20,TATASTEEL,2021-08-26,1448.0,1454.0,1365.35,1375.15,1368.0,1375.15,46679,56061571000.0,39007350,-2882350,1375.6,0.28140000000000004,-0.4499999999998181
2021-08-23,TATASTEEL,2021-08-26,1399.7,1408.0,1310.5,1357.4,1361.05,1357.4,44395,51415367000.0,27444800,-11562550,1358.65,0.1322,-1.25
2021-08-24,TATASTEEL,2021-08-26,1384.0,1417.8,1375.6,1402.45,1404.25,1402.45,32940,39131786000.0,16678700,-10766100,1404.65,0.20750000000000002,-2.2000000000000455
2021-08-25,TATASTEEL,2021-08-26,1418.0,1423.5,1379.0,1389.05,1389.15,1389.05,19936,23783814000.0,9261600,-7417100,1390.2,0.1929,-1.150000000000091
