Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,TCS,2021-08-26,3187.45,3238.0,3179.0,3233.25,3235.1,3233.25,10622,10249366000.0,9946200,482400,3219.4,0.7313,13.849999999999909
2021-08-03,TCS,2021-08-26,3241.75,3295.0,3228.5,3289.2,3285.0,3289.2,20130,19768624000.0,9943200,-3000,3284.9,0.5879,4.299999999999727
2021-08-04,TCS,2021-08-26,3298.1,3308.8,3266.65,3276.0,3277.95,3276.0,9326,9189183000.0,9355500,-587700,3273.95,0.679,2.050000000000182
2021-08-05,TCS,2021-08-26,3279.35,3326.95,3269.0,3293.25,3295.8,3293.25,10595,10494421000.0,9468000,112500,3283.95,0.5359,9.300000000000182
2021-08-06,TCS,2021-08-26,3300.0,3333.0,3275.0,3314.5,3317.0,3314.5,7774,7715427000.0,9368100,-99900,3309.8,0.6368,4.699999999999818
2021-08-09,TCS,2021-08-26,3326.0,3340.0,3312.45,3325.3,3325.9,3325.3,5377,5365707000.0,9260400,-107700,3322.7,0.6416,2.600000000000364
2021-08-10,TCS,2021-08-26,3320.65,3356.8,3316.9,3342.4,3342.0,3342.4,8284,8304269000.0,9148500,-111900,3333.9,0.6064,8.5
2021-08-11,TCS,2021-08-26,3350.0,3363.95,3331.2,3345.1,3345.55,3345.1,7231,7260198000.0,8906400,-242100,3344.2,0.5898,0.900000000000091
2021-08-12,TCS,2021-08-26,3335.8,3370.55,3335.8,3358.05,3356.2,3358.05,5521,5563364000.0,9166800,260400,3351.75,0.6296,6.300000000000182
2021-08-13,TCS,2021-08-26,3361.0,3478.75,3359.05,3462.15,3459.2,3462.15,18422,18990571000.0,9473100,306300,3463.4,0.48869999999999997,-1.25
2021-08-16,TCS,2021-08-26,3456.15,3492.75,3442.4,3470.8,3466.6,3470.8,9161,9535503000.0,9159900,-313200,3472.95,0.5653,-2.149999999999636
2021-08-17,TCS,2021-08-26,3488.2,3559.75,3460.35,3550.05,3542.2,3550.05,16796,17733408000.0,9097800,-62100,3553.05,0.6238,-3.0
2021-08-18,TCS,2021-08-26,3561.2,3591.75,3535.1,3557.55,3555.0,3557.55,10764,11501771000.0,8346900,-750900,3560.55,0.655,-3.0
2021-08-20,TCS,2021-08-26,3518.9,3573.25,3506.6,3555.7,3556.2,3555.7,9392,10012423000.0,7509600,-837300,3559.5,0.6517000000000001,-3.800000000000182
2021-08-23,TCS,2021-08-26,3573.1,3668.65,3567.0,3636.95,3635.5,3636.95,19272,20992706000.0,5614500,-1895100,3637.4,0.4922,-0.45000000000027285
2021-08-24,TCS,2021-08-26,3652.2,3671.45,3593.55,3613.4,3614.05,3613.4,13563,14752607000.0,3703200,-1911300,3613.2,0.6199,0.20000000000027285
2021-08-25,TCS,2021-08-26,3609.35,3693.65,3605.75,3654.95,3663.25,3654.95,10354,11385470000.0,2203200,-1500000,3659.0,0.46880000000000005,-4.050000000000182
