Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,TECHM,2021-08-26,1214.8,1215.7,1198.0,1212.95,1211.0,1212.95,3991,2890488000.0,15867000,-56400,1210.7,0.49450000000000005,2.25
2021-08-03,TECHM,2021-08-26,1217.95,1231.9,1213.3,1227.65,1228.25,1227.65,5078,3733357000.0,14992200,-874800,1226.25,0.5311,1.400000000000091
2021-08-04,TECHM,2021-08-26,1229.6,1232.0,1215.0,1217.1,1219.55,1217.1,4038,2954542000.0,14619600,-372600,1216.5,0.6066,0.599999999999909
2021-08-05,TECHM,2021-08-26,1218.45,1254.55,1216.15,1249.0,1249.0,1249.0,10570,7882889999.999999,13576200,-1043400,1248.2,0.4793,0.7999999999999545
2021-08-06,TECHM,2021-08-26,1250.2,1273.6,1244.0,1265.3,1266.35,1265.3,7312,5537421000.0,12837000,-739200,1264.6,0.5449,0.7000000000000455
2021-08-09,TECHM,2021-08-26,1288.1,1306.2,1271.75,1287.3,1289.5,1287.3,12217,9425761000.0,11149200,-1687800,1287.45,0.5719,-0.15000000000009095
2021-08-10,TECHM,2021-08-26,1288.1,1329.1,1283.6,1322.2,1321.55,1322.2,11160,8787922000.0,10295400,-853800,1323.05,0.44310000000000005,-0.849999999999909
2021-08-11,TECHM,2021-08-26,1326.05,1326.05,1298.1,1322.2,1319.35,1322.2,6592,5193814000.0,9568800,-726600,1323.6,0.5963,-1.3999999999998636
2021-08-12,TECHM,2021-08-26,1315.4,1387.85,1315.4,1382.9,1383.6,1382.9,16412,13442245000.000002,10597800,1029000,1386.55,0.44070000000000004,-3.6499999999998636
2021-08-13,TECHM,2021-08-26,1379.85,1392.4,1368.55,1383.85,1384.85,1383.85,8490,7032717999.999999,10431600,-166200,1383.15,0.5139,0.6999999999998181
2021-08-16,TECHM,2021-08-26,1380.35,1398.95,1361.95,1370.85,1373.0,1370.85,6153,5079067000.0,10462800,31200,1367.85,0.4857,3.0
2021-08-17,TECHM,2021-08-26,1389.6,1427.0,1367.7,1415.0,1412.05,1415.0,13142,11128654000.0,10041000,-421800,1413.7,0.3614,1.2999999999999545
2021-08-18,TECHM,2021-08-26,1414.9,1424.8,1406.6,1415.05,1415.85,1415.05,4501,3819626000.0,9594600,-446400,1412.5,0.5242,2.5499999999999545
2021-08-20,TECHM,2021-08-26,1369.0,1421.05,1365.25,1400.1,1397.45,1400.1,5118,4308015000.0,8898000,-696600,1399.2,0.5686,0.8999999999998636
2021-08-23,TECHM,2021-08-26,1412.0,1444.65,1408.4,1417.5,1417.5,1417.5,8077,6916586000.0,7881600,-1016400,1416.0,0.3805,1.5
2021-08-24,TECHM,2021-08-26,1423.55,1463.5,1422.4,1459.7,1461.8,1459.7,12126,10538379000.0,5399400,-2482200,1463.35,0.44020000000000004,-3.6499999999998636
2021-08-25,TECHM,2021-08-26,1459.15,1476.4,1450.8,1461.55,1463.4,1461.55,6895,6055757000.0,3625200,-1774200,1463.1,0.4011,-1.5499999999999545
