Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,ULTRACEMCO,2021-08-26,7655.25,7734.95,7641.5,7668.2,7675.0,7668.2,2185,1679123000.0,1604600,-2800,7642.05,0.4462,26.149999999999636
2021-08-03,ULTRACEMCO,2021-08-26,7651.25,7874.95,7627.3,7852.45,7867.9,7852.45,4705,3656376000.0,1594800,-9800,7843.25,0.44070000000000004,9.199999999999818
2021-08-04,ULTRACEMCO,2021-08-26,7899.95,7916.9,7744.35,7761.15,7760.7,7761.15,2694,2103252000.0,1531800,-63000,7750.0,0.44810000000000005,11.149999999999636
2021-08-05,ULTRACEMCO,2021-08-26,7762.2,7829.85,7676.1,7690.9,7694.4,7690.9,2064,1592214000.0,1544800,13000,7659.0,0.4254,31.899999999999636
2021-08-06,ULTRACEMCO,2021-08-26,7728.35,7729.2,7541.1,7558.45,7569.0,7558.45,3522,2676479000.0,1571700,26900,7527.65,0.5557,30.800000000000182
2021-08-09,ULTRACEMCO,2021-08-26,7599.85,7630.0,7501.3,7522.25,7515.55,7522.25,2369,1788103000.0,1629800,58100,7495.65,0.5507,26.600000000000364
2021-08-10,ULTRACEMCO,2021-08-26,7502.0,7539.5,7450.05,7496.85,7483.7,7496.85,2453,1838059000.0,1686700,56900,7474.15,0.41350000000000003,22.700000000000728
2021-08-11,ULTRACEMCO,2021-08-26,7517.85,7562.0,7385.6,7469.45,7471.95,7469.45,2462,1835905000.0,1685800,-900,7452.45,0.2722,17.0
2021-08-12,ULTRACEMCO,2021-08-26,7465.95,7593.8,7439.4,7488.55,7492.0,7488.55,2824,2121071000.0,1702300,16500,7468.7,0.292,19.850000000000364
2021-08-13,ULTRACEMCO,2021-08-26,7513.95,7527.7,7445.55,7474.65,7461.3,7474.65,2225,1665379000.0,1723600,21300,7460.7,0.40299999999999997,13.949999999999818
2021-08-16,ULTRACEMCO,2021-08-26,7450.1,7480.25,7350.1,7366.7,7361.3,7366.7,2356,1741580000.0,1743200,19600,7346.65,0.5276,20.050000000000182
2021-08-17,ULTRACEMCO,2021-08-26,7361.2,7429.05,7306.0,7410.3,7404.05,7410.3,2321,1712111000.0,1741400,-1800,7409.05,0.40140000000000003,1.25
2021-08-18,ULTRACEMCO,2021-08-26,7418.35,7725.0,7392.7,7613.8,7609.2,7613.8,10546,8029372000.0,1741600,200,7601.45,0.3015,12.350000000000364
2021-08-20,ULTRACEMCO,2021-08-26,7603.9,7635.35,7447.3,7492.05,7480.65,7492.05,4043,3048513000.0,1680400,-61200,7493.35,0.5561,-1.300000000000182
2021-08-23,ULTRACEMCO,2021-08-26,7583.5,7583.5,7296.0,7366.0,7369.0,7366.0,9132,6767485000.000001,1094500,-585900,7351.0,0.4274,15.0
2021-08-24,ULTRACEMCO,2021-08-26,7422.05,7469.45,7375.1,7450.45,7452.4,7450.45,6801,5049079000.0,631600,-462900,7455.35,0.3276,-4.900000000000546
2021-08-25,ULTRACEMCO,2021-08-26,7440.5,7475.0,7370.75,7379.8,7379.35,7379.8,4418,3272457000.0,350700,-280900,7382.35,0.39130000000000004,-2.550000000000182
