Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-08-02,WIPRO,2021-08-26,590.15,597.9,584.65,595.25,597.65,595.25,3340,3161593000.0,29785600,780800,592.25,0.41380000000000006,3.0
2021-08-03,WIPRO,2021-08-26,602.45,602.45,595.7,599.9,599.05,599.9,4321,4138372000.0,29806400,20800,599.4,0.3139,0.5
2021-08-04,WIPRO,2021-08-26,602.7,604.5,595.0,596.95,596.85,596.95,3258,3120615000.0,29708800,-97600,596.8,0.4042,0.15000000000009095
2021-08-05,WIPRO,2021-08-26,598.65,614.65,598.0,600.75,601.3,600.75,9267,8991529000.0,30001600,292800,600.9,0.1631,-0.14999999999997726
2021-08-06,WIPRO,2021-08-26,603.05,606.85,596.25,599.9,600.6,599.9,3972,3826460000.0,29817600,-184000,598.0,0.4011,1.8999999999999773
2021-08-09,WIPRO,2021-08-26,600.8,606.4,596.4,598.2,599.0,598.2,3253,3125089000.0,29958400,140800,596.8,0.41000000000000003,1.400000000000091
2021-08-10,WIPRO,2021-08-26,599.35,610.1,594.5,604.95,605.9,604.95,6254,6044624000.0,30225600,267200,603.85,0.2853,1.1000000000000227
2021-08-11,WIPRO,2021-08-26,603.75,607.8,600.0,603.4,603.5,603.4,3823,3690383999.9999995,30180800,-44800,601.25,0.43460000000000004,2.1499999999999773
2021-08-12,WIPRO,2021-08-26,603.15,610.5,602.55,607.5,607.1,607.5,3784,3674540000.0,30360000,179200,605.85,0.3345,1.6499999999999773
2021-08-13,WIPRO,2021-08-26,606.9,620.9,606.85,615.25,615.75,615.25,7771,7643322000.0,30211200,-148800,615.5,0.2723,-0.25
2021-08-16,WIPRO,2021-08-26,617.45,621.5,610.3,615.05,614.95,615.05,4460,4394762000.0,29632000,-579200,614.05,0.2511,1.0
2021-08-17,WIPRO,2021-08-26,614.15,635.7,612.85,634.45,634.15,634.45,11138,11168517000.0,29502400,-129600,634.9,0.24780000000000002,-0.4499999999999318
2021-08-18,WIPRO,2021-08-26,634.05,639.15,624.4,630.7,630.0,630.7,6626,6703666000.0,28489600,-1012800,629.4,0.2792,1.3000000000000682
2021-08-20,WIPRO,2021-08-26,622.5,632.0,618.3,620.9,619.6,620.9,5032,5024542000.0,26728000,-1761600,620.05,0.4181,0.8500000000000227
2021-08-23,WIPRO,2021-08-26,625.3,636.8,623.85,630.2,629.85,630.2,10799,10900872000.0,18065600,-8662400,628.85,0.25079999999999997,1.3500000000000227
2021-08-24,WIPRO,2021-08-26,633.45,636.5,624.4,634.25,633.7,634.25,9437,9534329000.0,9467200,-8598400,633.55,0.28690000000000004,0.7000000000000455
2021-08-25,WIPRO,2021-08-26,635.85,643.5,629.95,632.5,632.4,632.5,7330,7466999000.000001,4260800,-5206400,631.65,0.21239999999999998,0.8500000000000227
