Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-09-01,AXISBANK,2021-09-30,800.0,819.95,796.6,801.85,801.9,801.85,20511,19920648000.0,29859600,992400,798.9,0.3186,2.9500000000000455
2021-09-02,AXISBANK,2021-09-30,802.0,807.65,795.3,805.95,805.85,805.95,6768,6522287000.0,30429600,570000,802.7,0.3821,3.25
2021-09-03,AXISBANK,2021-09-30,805.0,813.0,790.5,800.8,801.2,800.8,10313,9913904000.0,31825200,1395600,798.0,0.4598,2.7999999999999545
2021-09-06,AXISBANK,2021-09-30,801.7,808.3,798.1,804.1,804.0,804.1,5871,5663684000.0,32877600,1052400,800.8,0.4832,3.300000000000068
2021-09-07,AXISBANK,2021-09-30,799.55,802.45,784.8,790.9,791.0,790.9,8419,7998172000.0,32035200,-842400,787.85,0.4485,3.0499999999999545
2021-09-08,AXISBANK,2021-09-30,790.05,798.65,785.0,795.6,796.85,795.6,6455,6156528000.0,31249200,-786000,794.7,0.5161,0.8999999999999773
2021-09-09,AXISBANK,2021-09-30,791.7,795.05,786.0,791.5,790.5,791.5,4241,4019655000.0000005,31346400,97200,790.15,0.5093,1.3500000000000227
2021-09-13,AXISBANK,2021-09-30,788.0,792.15,785.95,788.45,787.8,788.45,4656,4407472000.0,31300800,-45600,788.35,0.5629,0.10000000000002274
2021-09-14,AXISBANK,2021-09-30,790.85,801.4,790.85,794.1,793.95,794.1,6234,5956053000.0,30474000,-826800,794.4,0.5601,-0.2999999999999545
2021-09-15,AXISBANK,2021-09-30,795.8,799.0,787.3,793.9,794.9,793.9,5510,5238963000.0,30516000,42000,791.4,0.4571,2.5
2021-09-16,AXISBANK,2021-09-30,793.4,808.8,791.2,805.35,806.1,805.35,15337,14753289000.000002,32730000,2214000,802.6,0.6279,2.75
2021-09-17,AXISBANK,2021-09-30,808.95,821.25,797.5,807.95,810.95,807.95,20228,19655568000.0,31156800,-1573200,807.35,0.4882,0.6000000000000227
2021-09-20,AXISBANK,2021-09-30,796.0,810.25,793.2,795.95,793.2,795.95,7730,7432166000.0,31045200,-111600,795.85,0.5322,0.10000000000002274
2021-09-21,AXISBANK,2021-09-30,793.6,799.75,774.0,795.95,795.8,795.95,11301,10676674000.0,30752400,-292800,795.35,0.38530000000000003,0.6000000000000227
2021-09-22,AXISBANK,2021-09-30,795.85,796.2,787.0,790.15,790.55,790.15,5062,4805154000.0,30939600,187200,788.35,0.4012,1.7999999999999545
2021-09-23,AXISBANK,2021-09-30,794.0,814.5,793.95,812.85,813.15,812.85,12464,12109601000.0,28746000,-2193600,812.15,0.4238,0.7000000000000455
2021-09-24,AXISBANK,2021-09-30,813.0,817.9,796.65,799.65,798.65,799.65,8423,8139814999.999999,26784000,-1962000,798.05,0.43060000000000004,1.6000000000000227
2021-09-27,AXISBANK,2021-09-30,802.5,810.3,794.55,798.75,798.6,798.75,10001,9617757000.0,22515600,-4268400,796.95,0.6463,1.7999999999999545
2021-09-28,AXISBANK,2021-09-30,802.45,808.7,779.0,790.35,789.8,790.35,14435,13727060999.999998,15132000,-7383600,789.2,0.5982000000000001,1.1499999999999773
2021-09-29,AXISBANK,2021-09-30,782.0,789.25,779.9,783.55,782.2,783.55,13712,12903326000.0,7263600,-7868400,782.15,0.7243,1.3999999999999773
