Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-09-01,BAJAJFINSV,2021-09-30,17193.8,17267.95,16811.0,16854.8,16858.0,16854.8,5758,7337883000.0,775350,8025,16786.3,0.2736,68.5
2021-09-02,BAJAJFINSV,2021-09-30,16844.95,16970.5,16637.0,16776.85,16775.3,16776.85,3017,3800312000.0000005,788775,13425,16703.25,0.2675,73.59999999999854
2021-09-03,BAJAJFINSV,2021-09-30,16824.95,16895.4,16623.0,16802.95,16788.2,16802.95,2626,3297146000.0,801150,12375,16734.35,0.2576,68.60000000000218
2021-09-06,BAJAJFINSV,2021-09-30,16831.2,17005.0,16733.75,16817.7,16819.75,16817.7,2409,3045829000.0,798825,-2325,16747.0,0.2252,70.70000000000073
2021-09-07,BAJAJFINSV,2021-09-30,16825.0,17009.25,16679.8,16840.25,16837.1,16840.25,2855,3607237000.0000005,784875,-13950,16781.2,0.20079999999999998,59.04999999999927
2021-09-08,BAJAJFINSV,2021-09-30,16788.9,16932.55,16586.5,16630.5,16655.0,16630.5,2651,3318994000.0,785475,600,16560.75,0.3912,69.75
2021-09-09,BAJAJFINSV,2021-09-30,16625.45,16884.5,16535.0,16809.5,16803.7,16809.5,2734,3423785000.0,792075,6600,16750.5,0.31829999999999997,59.0
2021-09-13,BAJAJFINSV,2021-09-30,16752.85,17050.0,16605.7,16957.15,16955.05,16957.15,3346,4230339000.0,787275,-4800,16938.2,0.3106,18.950000000000728
2021-09-14,BAJAJFINSV,2021-09-30,17058.45,17075.4,16856.75,16878.1,16880.0,16878.1,2567,3265785000.0,799200,11925,16831.25,0.3408,46.849999999998545
2021-09-15,BAJAJFINSV,2021-09-30,16916.1,17024.8,16850.5,16890.45,16898.95,16890.45,1809,2297671000.0,796425,-2775,16828.9,0.2669,61.54999999999927
2021-09-16,BAJAJFINSV,2021-09-30,16926.25,16983.45,16662.25,16784.0,16774.7,16784.0,2524,3178103000.0,797700,1275,16733.0,0.2612,51.0
2021-09-17,BAJAJFINSV,2021-09-30,16844.9,17558.0,16787.5,16895.35,16914.85,16895.35,11979,15444673000.000002,774675,-23025,16840.2,0.1881,55.14999999999782
2021-09-20,BAJAJFINSV,2021-09-30,16766.3,17366.2,16725.15,17036.15,17029.9,17036.15,6703,8622200000.0,783225,8550,17018.95,0.1182,17.200000000000728
2021-09-21,BAJAJFINSV,2021-09-30,17050.05,17680.0,16828.5,17623.55,17643.0,17623.55,7662,9961223000.0,799725,16500,17587.25,0.1457,36.29999999999927
2021-09-22,BAJAJFINSV,2021-09-30,17604.5,17809.0,17513.9,17619.55,17636.25,17619.55,3975,5258647000.0,764475,-35250,17614.75,0.2407,4.799999999999272
2021-09-23,BAJAJFINSV,2021-09-30,17732.4,18810.0,17689.1,18528.15,18487.2,18528.15,12040,16639019000.0,781875,17400,18503.85,0.0844,24.30000000000291
2021-09-24,BAJAJFINSV,2021-09-30,18579.95,18824.8,18345.55,18545.35,18547.8,18545.35,5223,7277917999.999999,714225,-67650,18526.0,0.127,19.349999999998545
2021-09-27,BAJAJFINSV,2021-09-30,18669.1,18749.4,18000.0,18087.9,18090.2,18087.9,6754,9276093000.0,606750,-107475,18031.1,0.3724,56.80000000000291
2021-09-28,BAJAJFINSV,2021-09-30,18200.0,18200.0,17470.0,17601.5,17565.0,17601.5,6963,9288185000.0,442275,-164475,17550.35,0.26920000000000005,51.150000000001455
2021-09-29,BAJAJFINSV,2021-09-30,17539.3,17697.0,17358.4,17495.75,17489.75,17495.75,5176,6793998000.0,307650,-134625,17433.75,0.3179,62.0
