Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-09-01,POWERGRID,2021-09-30,174.5,174.5,172.5,173.4,173.3,173.4,1013,937145000.0000001,27544945,319980,175.65,0.7421,-2.25
2021-09-02,POWERGRID,2021-09-30,173.0,173.8,172.2,173.55,173.65,173.55,1426,1317093000.0,28979522,1434577,175.75,0.7523000000000001,-2.1999999999999886
2021-09-03,POWERGRID,2021-09-30,173.75,174.4,172.0,173.05,173.05,173.05,1599,1475852000.0,29086182,106660,175.55,0.6927,-2.5
2021-09-06,POWERGRID,2021-09-30,174.7,174.7,170.8,171.85,172.0,171.85,1611,1477755000.0,30542091,1455909,174.1,0.7121,-2.25
2021-09-07,POWERGRID,2021-09-30,172.25,172.25,170.1,170.6,170.6,170.6,1189,1082619000.0,31763348,1221257,173.0,0.6465000000000001,-2.4000000000000057
2021-09-08,POWERGRID,2021-09-30,171.05,173.7,170.1,173.35,173.45,173.35,2092,1924148000.0,31283378,-479970,172.85,0.6620999999999999,0.5
2021-09-09,POWERGRID,2021-09-30,172.8,174.35,172.45,173.55,173.65,173.55,1200,1111160000.0,30995396,-287982,173.5,0.561,0.05000000000001137
2021-09-13,POWERGRID,2021-09-30,173.9,174.25,172.85,173.95,173.65,173.95,720,666759000.0,30963398,-31998,173.9,0.7484000000000001,0.04999999999998295
2021-09-14,POWERGRID,2021-09-30,173.8,175.7,173.6,174.55,174.45,174.55,1184,1101870000.0,30584755,-378643,174.1,0.6325999999999999,0.45000000000001705
2021-09-15,POWERGRID,2021-09-30,173.55,179.7,173.55,178.7,179.0,178.7,3758,3568596000.0,33725892,3141137,177.9,0.5702,0.799999999999983
2021-09-16,POWERGRID,2021-09-30,179.75,182.3,178.5,179.75,179.4,179.75,2564,2465516000.0,33789888,63996,179.45,0.5874,0.30000000000001137
2021-09-17,POWERGRID,2021-09-30,180.6,180.65,176.75,179.0,179.15,179.0,2284,2179353000.0,31576693,-2213195,178.8,0.7347,0.19999999999998863
2021-09-20,POWERGRID,2021-09-30,178.2,179.0,175.65,176.9,175.65,176.9,1655,1565884000.0,31363373,-213320,177.0,0.4547,-0.09999999999999432
2021-09-21,POWERGRID,2021-09-30,176.25,178.85,175.65,176.35,176.4,176.35,1572,1483592000.0,32056663,693290,175.9,0.5791,0.44999999999998863
2021-09-22,POWERGRID,2021-09-30,176.45,177.95,176.25,177.3,177.4,177.3,1478,1396055000.0,32696623,639960,176.75,0.7065,0.5500000000000114
2021-09-23,POWERGRID,2021-09-30,178.7,179.15,177.55,178.8,178.8,178.8,1413,1345281000.0,32509968,-186655,178.25,0.6678000000000001,0.5500000000000114
2021-09-24,POWERGRID,2021-09-30,179.1,179.75,176.2,176.55,176.4,176.55,2204,2094523000.0,28232902,-4277066,176.15,0.6701,0.4000000000000057
2021-09-27,POWERGRID,2021-09-30,176.85,177.65,175.5,176.5,176.45,176.5,1248,1172563000.0,25049101,-3183801,176.0,0.6668999999999999,0.5
2021-09-28,POWERGRID,2021-09-30,176.85,188.85,176.85,184.2,184.15,184.2,7104,6974289999.999999,17145595,-7903506,183.95,0.3472,0.25
2021-09-29,POWERGRID,2021-09-30,182.15,196.0,182.15,194.9,194.1,194.9,6593,6727422000.0,9279420,-7866175,195.05,0.39060000000000006,-0.15000000000000568
