Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-09-01,SBILIFE,2021-09-30,1190.1,1223.8,1187.15,1221.75,1218.15,1221.75,3573,3246166000.0,6748500,448500,1220.5,0.5453,1.25
2021-09-02,SBILIFE,2021-09-30,1225.35,1250.5,1225.1,1244.15,1244.05,1244.15,3999,3714669999.9999995,6816000,67500,1243.4,0.5734,0.75
2021-09-03,SBILIFE,2021-09-30,1244.6,1253.9,1228.2,1244.25,1243.0,1244.25,2284,2126105000.0,6819000,3000,1244.15,0.53,0.09999999999990905
2021-09-06,SBILIFE,2021-09-30,1246.05,1248.75,1236.65,1246.15,1242.0,1246.15,1008,940729000.0000001,6862500,43500,1244.65,0.6703,1.5
2021-09-07,SBILIFE,2021-09-30,1244.0,1254.0,1232.65,1239.4,1236.0,1239.4,2163,2008668000.0,6693000,-169500,1238.75,0.522,0.650000000000091
2021-09-08,SBILIFE,2021-09-30,1246.0,1246.0,1212.15,1219.8,1215.0,1219.8,4745,4363490000.0,6587250,-105750,1220.05,0.5144,-0.25
2021-09-09,SBILIFE,2021-09-30,1181.1,1202.35,1167.6,1172.2,1172.0,1172.2,18686,16506073000.000002,10692750,4105500,1173.2,0.4683,-1.0
2021-09-13,SBILIFE,2021-09-30,1174.9,1174.9,1152.7,1163.55,1162.2,1163.55,5369,4677370000.0,11454750,762000,1165.15,0.632,-1.6000000000001364
2021-09-14,SBILIFE,2021-09-30,1169.7,1172.25,1156.75,1169.45,1169.45,1169.45,2663,2329760000.0,11622750,168000,1170.9,0.6102000000000001,-1.4500000000000455
2021-09-15,SBILIFE,2021-09-30,1166.55,1178.7,1165.0,1176.55,1176.25,1176.55,3243,2856360000.0,11076750,-546000,1172.45,0.7205,4.099999999999909
2021-09-16,SBILIFE,2021-09-30,1174.0,1191.0,1170.7,1187.6,1187.8,1187.6,3700,3280981000.0,10836000,-240750,1184.9,0.7576999999999999,2.699999999999818
2021-09-17,SBILIFE,2021-09-30,1200.5,1207.1,1186.65,1200.55,1201.1,1200.55,5923,5324038000.0,10310250,-525750,1198.8,0.5936,1.75
2021-09-20,SBILIFE,2021-09-30,1183.15,1201.85,1177.45,1179.6,1178.3,1179.6,3796,3387692000.0,10292250,-18000,1177.5,0.58,2.099999999999909
2021-09-21,SBILIFE,2021-09-30,1186.25,1196.95,1173.3,1188.1,1189.7,1188.1,3121,2774887000.0,10329750,37500,1184.6,0.6452,3.5
2021-09-22,SBILIFE,2021-09-30,1186.65,1204.7,1181.45,1194.55,1195.3,1194.55,3123,2796420000.0,10034250,-295500,1191.3,0.4888,3.25
2021-09-23,SBILIFE,2021-09-30,1209.5,1219.5,1200.75,1218.05,1217.15,1218.05,3535,3213133000.0,9680250,-354000,1218.3,0.6167,-0.25
2021-09-24,SBILIFE,2021-09-30,1219.65,1237.0,1209.85,1221.55,1219.65,1221.55,3762,3454923000.0000005,9178500,-501750,1222.05,0.49950000000000006,-0.5
2021-09-27,SBILIFE,2021-09-30,1230.0,1239.5,1211.2,1224.9,1223.55,1224.9,2608,2388810000.0,8283000,-895500,1222.8,0.5576,2.1000000000001364
2021-09-28,SBILIFE,2021-09-30,1225.6,1231.15,1201.1,1208.0,1204.9,1208.0,6096,5562656000.0,5203500,-3079500,1210.3,0.7022,-2.2999999999999545
2021-09-29,SBILIFE,2021-09-30,1204.3,1214.65,1198.7,1205.55,1204.95,1205.55,3747,3386367000.0,3620250,-1583250,1205.95,0.6555,-0.40000000000009095
