Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-09-01,UPL,2021-09-30,745.65,755.95,741.0,751.7,751.3,751.7,3621,3524533000.0,22781200,115700,748.65,0.33549999999999996,3.050000000000068
2021-09-02,UPL,2021-09-30,752.3,761.0,747.95,756.65,755.7,756.65,3234,3178400000.0,23091900,310700,753.35,0.5117,3.2999999999999545
2021-09-03,UPL,2021-09-30,756.85,761.5,749.5,754.5,752.95,754.5,2114,2073316999.9999998,23259600,167700,752.8,0.4012,1.7000000000000455
2021-09-06,UPL,2021-09-30,755.4,761.4,751.0,757.0,757.9,757.0,2297,2259819000.0,22945000,-314600,755.75,0.4175,1.25
2021-09-07,UPL,2021-09-30,759.65,761.95,746.55,753.2,751.45,753.2,1969,1929180000.0,22738300,-206700,752.05,0.4252,1.150000000000091
2021-09-08,UPL,2021-09-30,755.2,773.3,748.95,762.85,761.75,762.85,5838,5805672000.0,22436700,-301600,762.0,0.28350000000000003,0.8500000000000227
2021-09-09,UPL,2021-09-30,761.35,763.8,754.7,758.2,757.5,758.2,1648,1624833000.0,22363900,-72800,757.9,0.4122,0.3000000000000682
2021-09-13,UPL,2021-09-30,755.5,767.9,752.95,758.3,757.1,758.3,2420,2396206000.0,22261200,-102700,756.0,0.49840000000000007,2.2999999999999545
2021-09-14,UPL,2021-09-30,759.85,765.3,753.8,754.95,755.4,754.95,1926,1901631000.0000002,22422400,161200,752.5,0.5573,2.4500000000000455
2021-09-15,UPL,2021-09-30,755.75,766.0,754.3,764.55,764.3,764.55,2013,1991555000.0,22426300,3900,762.1,0.42710000000000004,2.449999999999932
2021-09-16,UPL,2021-09-30,764.5,771.4,755.5,756.4,755.7,756.4,2966,2938258000.0,22478300,52000,754.0,0.41270000000000007,2.3999999999999773
2021-09-17,UPL,2021-09-30,757.55,757.55,736.25,742.0,740.95,742.0,3895,3771146000.0,22360000,-118300,742.35,0.6086,-0.35000000000002274
2021-09-20,UPL,2021-09-30,735.75,736.0,699.85,705.0,700.7,705.0,5845,5437583000.0,21058700,-1301300,705.6,0.4106,-0.6000000000000227
2021-09-21,UPL,2021-09-30,706.95,727.9,699.3,721.8,722.4,721.8,6929,6457457000.0,19228300,-1830400,721.85,0.23120000000000002,-0.05000000000006821
2021-09-22,UPL,2021-09-30,724.5,726.9,714.75,725.4,724.4,725.4,2563,2406564000.0,18664100,-564200,724.9,0.4446,0.5
2021-09-23,UPL,2021-09-30,729.2,732.9,724.5,728.15,727.95,728.15,1982,1878114000.0,18483400,-180700,726.85,0.3664,1.2999999999999545
2021-09-24,UPL,2021-09-30,726.95,732.6,713.15,718.75,719.3,718.75,2989,2810545000.0,17462900,-1020500,718.65,0.3189,0.10000000000002274
2021-09-27,UPL,2021-09-30,722.05,737.5,717.05,727.8,727.6,727.8,6352,6025729000.0,12663300,-4799600,725.85,0.3153,1.9499999999999318
2021-09-28,UPL,2021-09-30,728.4,734.05,710.4,718.3,716.8,718.3,6616,6209300000.0,7614100,-5049200,716.8,0.4498,1.5
2021-09-29,UPL,2021-09-30,711.75,724.0,708.7,717.25,717.1,717.25,4549,4241049000.0,3720600,-3893500,717.15,0.5394,0.10000000000002274
