Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,ASIANPAINT,2021-10-28,3266.5,3266.5,3171.55,3192.0,3194.0,3192.0,4780,4580521000.0,3882900,211200,3177.85,0.5622,14.150000000000091
2021-10-04,ASIANPAINT,2021-10-28,3205.15,3234.0,3181.05,3215.4,3215.95,3215.4,3939,3793953000.0,4003200,120300,3201.6,0.5157,13.800000000000182
2021-10-05,ASIANPAINT,2021-10-28,3216.0,3260.0,3196.2,3254.15,3260.0,3254.15,4150,4036816000.0000005,3972300,-30900,3254.75,0.3886,-0.599999999999909
2021-10-06,ASIANPAINT,2021-10-28,3265.35,3282.8,3208.65,3215.5,3215.6,3215.5,3415,3320160000.0,4049700,77400,3212.25,0.46340000000000003,3.25
2021-10-07,ASIANPAINT,2021-10-28,3230.1,3318.2,3230.1,3289.05,3294.1,3289.05,4876,4801343000.0,3884700,-165000,3290.85,0.4632,-1.7999999999997272
2021-10-08,ASIANPAINT,2021-10-28,3302.8,3325.0,3262.25,3303.65,3307.85,3303.65,4138,4095160000.0,3820800,-63900,3306.9,0.4857,-3.25
2021-10-11,ASIANPAINT,2021-10-28,3324.95,3341.65,3303.7,3309.55,3309.2,3309.55,2347,2340464000.0,3753600,-67200,3306.05,0.4203,3.5
2021-10-12,ASIANPAINT,2021-10-28,3291.4,3333.55,3287.0,3321.15,3322.0,3321.15,2535,2516570000.0,3700500,-53100,3323.25,0.5117,-2.099999999999909
2021-10-13,ASIANPAINT,2021-10-28,3350.0,3352.95,3288.65,3320.65,3316.0,3320.65,4664,4643392000.0,3756000,55500,3323.5,0.4939,-2.849999999999909
2021-10-14,ASIANPAINT,2021-10-28,3328.2,3348.0,3289.0,3300.35,3302.0,3300.35,4434,4412628000.0,3872700,116700,3297.8,0.4715,2.549999999999727
2021-10-18,ASIANPAINT,2021-10-28,3231.0,3282.6,3231.0,3244.35,3247.65,3244.35,6089,5943028000.0,4237500,364800,3241.5,0.5776,2.849999999999909
2021-10-19,ASIANPAINT,2021-10-28,3264.95,3266.8,3184.55,3191.6,3191.0,3191.6,6532,6315846000.0,4289700,52200,3183.75,0.5316,7.849999999999909
2021-10-20,ASIANPAINT,2021-10-28,3184.55,3219.0,3133.6,3168.25,3174.0,3168.25,8736,8332595000.0,4207500,-82200,3169.6,0.4389,-1.349999999999909
2021-10-21,ASIANPAINT,2021-10-28,3180.95,3194.75,2914.8,3001.6,3009.0,3001.6,31845,28878656000.0,4014600,-192900,3002.0,0.3116,-0.40000000000009095
2021-10-22,ASIANPAINT,2021-10-28,2975.0,3002.4,2919.05,2986.1,2979.95,2986.1,11116,9846958000.0,3738300,-276300,2982.4,0.4656,3.699999999999818
2021-10-25,ASIANPAINT,2021-10-28,2935.0,2948.3,2862.1,2919.65,2916.9,2919.65,7321,6387198000.0,3048900,-689400,2918.05,0.4446,1.599999999999909
2021-10-26,ASIANPAINT,2021-10-28,2925.1,3027.65,2901.0,2984.6,3010.6,2984.6,9782,8645572000.0,1828200,-1220700,2969.8,0.6568,14.799999999999727
2021-10-27,ASIANPAINT,2021-10-28,3050.0,3142.4,3041.75,3087.55,3090.8,3087.55,12816,11904044000.0,863700,-964500,3094.65,0.2223,-7.099999999999909
