Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,BHARTIARTL,2021-10-28,690.0,690.85,671.0,679.05,678.0,679.05,10898,13961407999.999998,76933712,4984698,675.9,0.5285,3.1499999999999773
2021-10-04,BHARTIARTL,2021-10-28,677.2,688.4,673.55,684.15,684.05,684.15,6499,8376525000.0,77972898,1039186,681.4,0.5373,2.75
2021-10-05,BHARTIARTL,2021-10-28,686.85,704.9,681.4,700.2,700.45,700.2,19264,25226828000.0,76045406,-1927492,699.25,0.48479999999999995,0.9500000000000455
2021-10-06,BHARTIARTL,2021-10-28,704.0,708.4,691.05,693.9,691.7,693.9,9882,13018146000.0,73819926,-2225480,691.4,0.4514,2.5
2021-10-07,BHARTIARTL,2021-10-28,695.95,703.25,693.6,694.65,695.4,694.65,6620,8725425000.0,72141386,-1678540,692.5,0.5613,2.1499999999999773
2021-10-08,BHARTIARTL,2021-10-28,697.0,701.95,689.9,696.3,695.1,696.3,6245,8200610000.000001,70415696,-1725690,695.5,0.5354,0.7999999999999545
2021-10-11,BHARTIARTL,2021-10-28,696.3,698.7,686.15,693.5,694.25,693.5,6215,8119927000.0,68248682,-2167014,690.85,0.6072,2.6499999999999773
2021-10-12,BHARTIARTL,2021-10-28,693.05,699.35,686.3,689.15,688.3,689.15,6953,9059585000.0,67013352,-1235330,686.35,0.5706,2.7999999999999545
2021-10-13,BHARTIARTL,2021-10-28,681.25,698.0,620.3,693.2,692.8,693.2,5903,7730312000.0,65474376,-1538976,689.9,0.5474,3.300000000000068
2021-10-14,BHARTIARTL,2021-10-28,692.45,696.4,684.75,689.45,691.05,689.45,8343,10859796000.0,67731918,2257542,685.8,0.674,3.650000000000091
2021-10-18,BHARTIARTL,2021-10-28,701.95,703.75,682.5,683.45,683.45,683.45,5982,7785517999.999999,68327894,595976,680.6,0.5985,2.8500000000000227
2021-10-19,BHARTIARTL,2021-10-28,695.55,696.3,677.3,683.35,685.0,683.35,10382,13466213000.0,67203838,-1124056,681.1,0.3189,2.25
2021-10-20,BHARTIARTL,2021-10-28,683.15,716.8,682.85,711.5,711.5,711.5,24124,32161189000.0,70117708,2913870,708.45,0.35240000000000005,3.0499999999999545
2021-10-21,BHARTIARTL,2021-10-28,714.9,714.95,691.05,698.85,699.0,698.85,10025,13256645000.000002,67499940,-2617768,696.05,0.4164,2.800000000000068
2021-10-22,BHARTIARTL,2021-10-28,704.0,719.85,684.15,694.55,696.0,694.55,9347,12256973000.0,62764194,-4735746,694.5,0.3517,0.049999999999954525
2021-10-25,BHARTIARTL,2021-10-28,691.75,703.4,674.65,690.85,690.45,690.85,17405,22720811000.0,45260228,-17503966,691.1,0.4675,-0.25
2021-10-26,BHARTIARTL,2021-10-28,696.0,708.9,687.35,695.4,695.7,695.4,18904,24805774000.0,25730698,-19529530,696.2,0.39990000000000003,-0.8000000000000682
2021-10-27,BHARTIARTL,2021-10-28,696.9,713.0,692.45,700.5,699.2,700.5,14975,19876239000.0,10897308,-14833390,702.35,0.4708,-1.8500000000000227
