Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,BRITANNIA,2021-10-28,3957.15,3977.35,3890.2,3926.25,3915.05,3926.25,1176,923436000.0,1084000,32600,3921.1,0.48490000000000005,5.150000000000091
2021-10-04,BRITANNIA,2021-10-28,3906.65,3977.4,3902.85,3911.7,3905.15,3911.7,1713,1345848000.0,1149400,65400,3892.9,0.6487999999999999,18.799999999999727
2021-10-05,BRITANNIA,2021-10-28,3905.05,3917.95,3878.7,3901.6,3901.0,3901.6,916,714540000.0,1172200,22800,3882.2,0.4672,19.40000000000009
2021-10-06,BRITANNIA,2021-10-28,3911.0,4002.0,3887.75,3939.35,3938.0,3939.35,3285,2600623000.0,1100000,-72200,3938.6,0.3265,0.75
2021-10-07,BRITANNIA,2021-10-28,3965.0,3970.0,3902.05,3920.55,3929.6,3920.55,1245,979095999.9999999,1144800,44800,3900.6,0.5426,19.950000000000273
2021-10-08,BRITANNIA,2021-10-28,3918.85,3938.6,3863.0,3899.75,3898.95,3899.75,2530,1972766000.0,1200000,55200,3883.3,0.3007,16.449999999999818
2021-10-11,BRITANNIA,2021-10-28,3888.6,3917.05,3850.0,3857.4,3856.0,3857.4,1984,1537879000.0,1280600,80600,3840.6,0.6129,16.800000000000182
2021-10-12,BRITANNIA,2021-10-28,3840.05,3882.85,3835.05,3875.5,3874.65,3875.5,1664,1287047000.0,1304800,24200,3867.95,0.5062,7.550000000000182
2021-10-13,BRITANNIA,2021-10-28,3862.35,3907.0,3862.35,3888.3,3897.0,3888.3,1445,1123699000.0,1285800,-19000,3883.7,0.5599000000000001,4.600000000000364
2021-10-14,BRITANNIA,2021-10-28,3908.75,3932.45,3881.9,3900.9,3907.0,3900.9,1794,1401169000.0,1248200,-37600,3894.85,0.5851,6.050000000000182
2021-10-18,BRITANNIA,2021-10-28,3902.1,3946.35,3840.75,3851.8,3853.0,3851.8,1389,1078486000.0,1234200,-14000,3837.35,0.6342,14.450000000000273
2021-10-19,BRITANNIA,2021-10-28,3844.65,3876.55,3796.1,3811.9,3818.5,3811.9,1876,1437046000.0,1197600,-36600,3795.9,0.5928,16.0
2021-10-20,BRITANNIA,2021-10-28,3815.05,3918.45,3751.8,3774.8,3774.75,3774.8,3640,2787898000.0,1192600,-5000,3762.0,0.25920000000000004,12.800000000000182
2021-10-21,BRITANNIA,2021-10-28,3777.95,3792.4,3690.1,3728.2,3731.5,3728.2,2074,1550218000.0,1132600,-60000,3714.35,0.5326,13.849999999999909
2021-10-22,BRITANNIA,2021-10-28,3720.3,3762.95,3651.25,3688.5,3689.0,3688.5,1416,1047764000.0,1080400,-52200,3690.0,0.4133,-1.5
2021-10-25,BRITANNIA,2021-10-28,3690.0,3690.0,3622.65,3638.3,3639.5,3638.3,3412,2488222000.0,774200,-306200,3631.05,0.3661,7.25
2021-10-26,BRITANNIA,2021-10-28,3627.4,3698.85,3606.05,3685.6,3698.0,3685.6,2509,1836564000.0,539200,-235000,3692.8,0.4825,-7.200000000000273
2021-10-27,BRITANNIA,2021-10-28,3708.5,3723.25,3678.1,3692.3,3704.25,3692.3,2567,1897615000.0000002,228400,-310800,3697.85,0.6969,-5.549999999999727
