Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,COALINDIA,2021-10-28,185.35,190.75,183.15,189.65,189.45,189.65,7084,5589561000.0,62328000,1524600,188.7,0.23829999999999998,0.950000000000017
2021-10-04,COALINDIA,2021-10-28,192.35,193.65,188.65,190.5,190.45,190.5,5678,4544340000.0,61429200,-898800,189.95,0.2693,0.5500000000000114
2021-10-05,COALINDIA,2021-10-28,192.0,199.5,190.8,198.45,198.45,198.45,11432,9422109000.0,60433800,-995400,197.95,0.254,0.5
2021-10-06,COALINDIA,2021-10-28,200.35,203.95,192.3,193.25,192.7,193.25,11005,9136767000.0,59119200,-1314600,192.85,0.2602,0.4000000000000057
2021-10-07,COALINDIA,2021-10-28,195.0,195.25,189.5,191.6,191.65,191.6,4852,3911805000.0000005,59304000,184800,190.7,0.3033,0.9000000000000057
2021-10-08,COALINDIA,2021-10-28,191.2,192.2,184.65,189.3,188.85,189.3,9383,7421785000.000001,62878200,3574200,188.45,0.29710000000000003,0.8500000000000227
2021-10-11,COALINDIA,2021-10-28,192.15,200.2,192.15,197.15,197.05,197.15,9019,7451760000.000001,63210000,331800,196.85,0.2462,0.30000000000001137
2021-10-12,COALINDIA,2021-10-28,198.5,201.25,191.4,193.85,194.0,193.85,5714,4677638000.0,64163400,953400,193.3,0.2791,0.549999999999983
2021-10-13,COALINDIA,2021-10-28,193.55,195.0,190.15,190.9,191.1,190.9,4787,3868069000.0,64764000,600600,190.05,0.4175,0.8499999999999943
2021-10-14,COALINDIA,2021-10-28,190.5,192.4,182.55,184.2,184.8,184.2,11406,8908095000.0,62433000,-2331000,183.8,0.3506,0.39999999999997726
2021-10-18,COALINDIA,2021-10-28,185.0,188.1,183.7,185.95,185.95,185.95,5300,4143139000.0,60534600,-1898400,185.3,0.32630000000000003,0.6499999999999773
2021-10-19,COALINDIA,2021-10-28,187.45,189.75,183.95,185.1,185.45,185.1,5851,4588102000.0,57968400,-2566200,184.5,0.2884,0.5999999999999943
2021-10-20,COALINDIA,2021-10-28,182.0,184.0,177.65,181.25,181.35,181.25,6887,5218403000.0,56158200,-1810200,180.5,0.25920000000000004,0.75
2021-10-21,COALINDIA,2021-10-28,182.7,183.65,179.15,182.6,182.6,182.6,6165,4699655000.0,51937200,-4221000,182.4,0.3422,0.19999999999998863
2021-10-22,COALINDIA,2021-10-28,183.4,184.35,175.4,176.05,175.6,176.05,6030,4510427000.0,45351600,-6585600,175.9,0.3152,0.15000000000000568
2021-10-25,COALINDIA,2021-10-28,176.15,177.5,173.0,174.2,174.0,174.2,7104,5220466000.0,39412800,-5938800,174.1,0.3153,0.09999999999999432
2021-10-26,COALINDIA,2021-10-28,173.95,176.4,172.0,175.15,175.9,175.15,6699,4892795000.0,31369800,-8043000,175.05,0.4651,0.09999999999999432
2021-10-27,COALINDIA,2021-10-28,176.35,177.0,172.75,173.6,173.35,173.6,5925,4357751000.0,23910600,-7459200,173.6,0.34880000000000005,0.0
