Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,GRASIM,2021-10-28,1665.35,1690.0,1638.95,1676.25,1672.0,1676.25,3951,3133266000.0,10224850,72200,1677.15,0.305,-0.900000000000091
2021-10-04,GRASIM,2021-10-28,1658.8,1658.8,1623.5,1646.25,1646.95,1646.25,5387,4199458999.9999995,10209650,-15200,1641.15,0.2182,5.099999999999909
2021-10-05,GRASIM,2021-10-28,1641.4,1656.55,1630.1,1632.35,1632.45,1632.35,2114,1648062000.0,10171650,-38000,1627.0,0.3615,5.349999999999909
2021-10-06,GRASIM,2021-10-28,1632.55,1644.0,1595.4,1601.4,1596.15,1601.4,3533,2719525000.0,10090425,-81225,1599.0,0.4681,2.400000000000091
2021-10-07,GRASIM,2021-10-28,1612.05,1632.1,1596.55,1599.35,1601.65,1599.35,2489,1908190000.0000002,10365925,275500,1592.0,0.8761,7.349999999999909
2021-10-08,GRASIM,2021-10-28,1605.75,1619.8,1598.8,1606.0,1607.0,1606.0,2229,1702252000.0,10459975,94050,1598.8,0.4122,7.2000000000000455
2021-10-11,GRASIM,2021-10-28,1618.0,1672.5,1612.35,1658.7,1659.5,1658.7,5416,4240614000.0,10685600,225625,1651.75,0.4645,6.9500000000000455
2021-10-12,GRASIM,2021-10-28,1658.5,1668.0,1632.75,1644.75,1644.75,1644.75,3055,2389249000.0,10730250,44650,1637.65,0.3195,7.099999999999909
2021-10-13,GRASIM,2021-10-28,1632.05,1721.75,1627.35,1683.9,1689.75,1683.9,6336,5067441000.0,10811000,80750,1677.05,0.292,6.850000000000136
2021-10-14,GRASIM,2021-10-28,1687.8,1777.75,1683.9,1755.0,1757.15,1755.0,6229,5160450000.0,10678475,-132525,1752.5,0.33640000000000003,2.5
2021-10-18,GRASIM,2021-10-28,1762.45,1801.3,1748.35,1758.7,1758.4,1758.7,4656,3929115000.0,10630500,-47975,1753.95,0.4473,4.75
2021-10-19,GRASIM,2021-10-28,1765.65,1774.35,1717.7,1723.75,1730.4,1723.75,2766,2290271000.0,10413900,-216600,1717.9,0.3454,5.849999999999909
2021-10-20,GRASIM,2021-10-28,1712.9,1728.95,1687.0,1696.1,1700.45,1696.1,2871,2329458000.0,10314625,-99275,1692.5,0.49950000000000006,3.599999999999909
2021-10-21,GRASIM,2021-10-28,1710.65,1754.6,1692.0,1747.1,1754.6,1747.1,3609,2955319000.0,10148850,-165775,1745.8,0.32530000000000003,1.2999999999999545
2021-10-22,GRASIM,2021-10-28,1750.2,1765.55,1711.1,1719.45,1717.3,1719.45,5318,4358043000.0,8732400,-1416450,1713.8,0.26480000000000004,5.650000000000091
2021-10-25,GRASIM,2021-10-28,1706.1,1721.7,1675.0,1712.3,1711.05,1712.3,13762,11147839000.0,2935975,-5796425,1710.65,0.24,1.6499999999998636
2021-10-26,GRASIM,2021-10-28,1709.95,1766.0,1704.3,1744.0,1750.0,1744.0,4569,3787080000.0000005,1829225,-1106750,1739.4,0.4025,4.599999999999909
2021-10-27,GRASIM,2021-10-28,1747.75,1755.45,1727.25,1732.45,1728.5,1732.45,3261,2695162000.0,730550,-1098675,1728.4,0.42960000000000004,4.0499999999999545
