Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,INDUSINDBK,2021-10-28,1109.35,1116.7,1096.2,1109.1,1108.1,1109.1,4233,4215168000.0,14488200,55800,1104.05,0.2696,5.0499999999999545
2021-10-04,INDUSINDBK,2021-10-28,1112.95,1130.85,1109.4,1124.15,1124.0,1124.15,2859,2887215000.0,14711400,223200,1119.8,0.31120000000000003,4.350000000000136
2021-10-05,INDUSINDBK,2021-10-28,1117.75,1180.55,1112.1,1174.05,1180.55,1174.05,8839,9183076000.0,14778900,67500,1168.6,0.3865,5.4500000000000455
2021-10-06,INDUSINDBK,2021-10-28,1180.1,1183.0,1129.65,1133.2,1130.0,1133.2,7785,8086096000.000001,14166900,-612000,1131.85,0.34909999999999997,1.3500000000001364
2021-10-07,INDUSINDBK,2021-10-28,1145.1,1191.3,1145.05,1172.0,1172.5,1172.0,8682,9137413000.0,14143500,-23400,1166.7,0.3686,5.2999999999999545
2021-10-08,INDUSINDBK,2021-10-28,1189.45,1189.45,1162.35,1175.35,1177.0,1175.35,5729,6053614000.0,13842000,-301500,1174.4,0.33880000000000005,0.9499999999998181
2021-10-11,INDUSINDBK,2021-10-28,1176.2,1199.0,1172.55,1174.95,1174.35,1174.95,4802,5110108000.0,13720500,-121500,1173.25,0.3985,1.7000000000000455
2021-10-12,INDUSINDBK,2021-10-28,1168.5,1201.7,1162.45,1186.65,1184.1,1186.65,5937,6326455000.0,13857300,136800,1181.9,0.2663,4.75
2021-10-13,INDUSINDBK,2021-10-28,1187.15,1202.45,1176.7,1185.55,1183.9,1185.55,3171,3383621000.0,13586400,-270900,1184.5,0.28250000000000003,1.0499999999999545
2021-10-14,INDUSINDBK,2021-10-28,1192.0,1219.85,1165.45,1215.05,1213.65,1215.05,9747,10490200000.0,14382900,796500,1210.0,0.28500000000000003,5.0499999999999545
2021-10-18,INDUSINDBK,2021-10-28,1222.75,1232.0,1197.45,1221.65,1218.35,1221.65,10340,11340381000.0,14094900,-288000,1219.6,0.3543,2.050000000000182
2021-10-19,INDUSINDBK,2021-10-28,1227.0,1244.85,1190.85,1199.2,1196.1,1199.2,10956,12026711000.0,14105700,10800,1194.0,0.3533,5.2000000000000455
2021-10-20,INDUSINDBK,2021-10-28,1190.55,1217.25,1176.65,1206.15,1209.3,1206.15,7914,8548424000.000001,13848300,-257400,1201.7,0.3514,4.4500000000000455
2021-10-21,INDUSINDBK,2021-10-28,1205.7,1214.9,1167.25,1189.8,1197.95,1189.8,9321,9949502000.0,11517300,-2331000,1184.4,0.3064,5.399999999999864
2021-10-22,INDUSINDBK,2021-10-28,1197.45,1207.85,1180.0,1198.05,1197.75,1198.05,7373,7928392000.0,9691200,-1826100,1196.4,0.3589,1.6499999999998636
2021-10-25,INDUSINDBK,2021-10-28,1207.5,1217.4,1158.7,1177.0,1175.85,1177.0,10205,10820368000.0,7426800,-2264400,1177.75,0.3875,-0.75
2021-10-26,INDUSINDBK,2021-10-28,1158.15,1195.15,1139.65,1156.95,1157.9,1156.95,8683,9084086000.0,4752000,-2674800,1154.9,0.3494,2.0499999999999545
2021-10-27,INDUSINDBK,2021-10-28,1162.65,1162.7,1121.15,1145.55,1138.0,1145.55,8540,8758821000.0,2969100,-1782900,1142.55,0.38680000000000003,3.0
