Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,INFY,2021-10-28,1660.0,1666.1,1649.5,1652.45,1651.7,1652.45,13689,13616014000.000002,35360400,2395800,1665.15,0.7220000000000001,-12.700000000000045
2021-10-04,INFY,2021-10-28,1659.95,1677.15,1651.05,1666.3,1668.35,1666.3,11267,11265866000.0,37414200,2053800,1678.75,0.6448999999999999,-12.450000000000045
2021-10-05,INFY,2021-10-28,1659.85,1690.0,1650.1,1679.95,1680.0,1679.95,16424,16439769000.0,39688200,2274000,1692.8,0.5611,-12.849999999999909
2021-10-06,INFY,2021-10-28,1690.05,1696.5,1658.9,1662.5,1661.0,1662.5,11851,11898995000.0,40291200,603000,1673.55,0.6694,-11.049999999999955
2021-10-07,INFY,2021-10-28,1671.35,1698.5,1670.15,1686.0,1685.9,1686.0,15515,15703681000.0,39252000,-1039200,1691.0,0.7040000000000001,-5.0
2021-10-08,INFY,2021-10-28,1697.05,1725.0,1692.05,1717.2,1718.3,1717.2,20644,21214983000.0,37925400,-1326600,1723.85,0.5243,-6.649999999999864
2021-10-11,INFY,2021-10-28,1682.5,1720.9,1656.15,1686.05,1687.4,1686.05,29163,29586731000.0,41134800,3209400,1690.95,0.5388000000000001,-4.900000000000091
2021-10-12,INFY,2021-10-28,1678.05,1683.55,1648.6,1676.1,1677.75,1676.1,29390,29407017000.0,44899200,3764400,1685.15,0.5139,-9.050000000000182
2021-10-13,INFY,2021-10-28,1681.35,1699.9,1670.6,1695.4,1692.2,1695.4,25688,25987202000.0,46087200,1188000,1709.2,0.616,-13.799999999999955
2021-10-14,INFY,2021-10-28,1738.9,1768.5,1683.1,1700.85,1699.5,1700.85,58085,60135292000.00001,43950000,-2137200,1715.75,0.493,-14.900000000000091
2021-10-18,INFY,2021-10-28,1745.0,1782.95,1725.0,1776.45,1782.5,1776.45,33872,35588985000.0,39641400,-4308600,1792.15,0.6901999999999999,-15.700000000000045
2021-10-19,INFY,2021-10-28,1800.05,1817.95,1766.25,1805.6,1807.6,1805.6,26874,29028146999.999996,35997000,-3644400,1822.15,0.6142000000000001,-16.550000000000182
2021-10-20,INFY,2021-10-28,1813.3,1832.7,1785.4,1793.1,1791.35,1793.1,16914,18324699000.0,33658800,-2338200,1802.35,0.5651,-9.25
2021-10-21,INFY,2021-10-28,1799.3,1803.45,1737.65,1743.9,1746.9,1743.9,18388,19408664000.0,30515400,-3143400,1753.65,0.6492,-9.75
2021-10-22,INFY,2021-10-28,1738.45,1753.55,1696.95,1709.9,1707.85,1709.9,17171,17717415000.0,27623400,-2892000,1719.8,0.6601,-9.899999999999864
2021-10-25,INFY,2021-10-28,1715.65,1719.5,1677.3,1697.35,1698.0,1697.35,20869,21160610000.0,20098200,-7525200,1707.55,0.6774,-10.200000000000045
2021-10-26,INFY,2021-10-28,1710.85,1725.7,1693.55,1707.85,1710.75,1707.85,25284,25860096000.0,10651800,-9446400,1703.7,0.6575,4.149999999999864
2021-10-27,INFY,2021-10-28,1713.75,1735.75,1701.65,1730.5,1726.95,1730.5,19516,20127490000.0,3075600,-7576200,1728.95,0.6104999999999999,1.5499999999999545
