Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,IOC,2021-10-28,125.45,129.1,125.25,127.65,127.65,127.65,2785,2300739000.0,36341500,-182000,127.4,0.2861,0.25
2021-10-04,IOC,2021-10-28,128.1,128.1,125.9,126.95,126.9,126.95,1487,1226674000.0,36900500,559000,126.25,0.4242,0.7000000000000028
2021-10-05,IOC,2021-10-28,126.5,131.1,126.5,130.4,130.45,130.4,3749,3169850000.0,39656500,2756000,129.9,0.3458,0.5
2021-10-06,IOC,2021-10-28,131.8,135.0,129.6,130.35,130.0,130.35,4846,4150073000.0000005,40319500,663000,130.1,0.31920000000000004,0.25
2021-10-07,IOC,2021-10-28,130.4,133.1,129.9,132.4,132.3,132.4,2275,1950308000.0000002,38057500,-2262000,132.25,0.45630000000000004,0.15000000000000568
2021-10-08,IOC,2021-10-28,133.4,134.4,131.1,132.35,132.35,132.35,1951,1681143999.9999998,37563500,-494000,131.8,0.41600000000000004,0.549999999999983
2021-10-11,IOC,2021-10-28,132.75,134.4,131.85,132.2,132.5,132.2,1493,1288480000.0,38460500,897000,131.55,0.4489,0.6499999999999773
2021-10-12,IOC,2021-10-28,132.2,132.6,129.75,131.85,131.65,131.85,1513,1290880000.0,39182000,721500,131.25,0.5654,0.5999999999999943
2021-10-13,IOC,2021-10-28,132.25,132.65,130.75,131.6,131.6,131.6,1245,1066640000.0,38005500,-1176500,131.25,0.5423,0.3499999999999943
2021-10-14,IOC,2021-10-28,131.4,136.05,131.2,134.8,134.55,134.8,3039,2653778000.0,38298000,292500,134.4,0.4498,0.4000000000000057
2021-10-18,IOC,2021-10-28,138.05,138.75,135.75,136.5,136.6,136.5,2916,2598592000.0,34261500,-4036500,136.35,0.4635,0.15000000000000568
2021-10-19,IOC,2021-10-28,137.35,137.35,133.4,133.9,133.7,133.9,2346,2059991999.9999998,30251000,-4010500,133.8,0.4961,0.09999999999999432
2021-10-20,IOC,2021-10-28,133.9,134.3,130.1,131.05,131.25,131.05,2162,1852909999.9999998,30166500,-84500,130.55,0.441,0.5
2021-10-21,IOC,2021-10-28,132.2,135.65,131.05,132.0,132.05,132.0,3046,2645273000.0,30186000,19500,131.65,0.284,0.3499999999999943
2021-10-22,IOC,2021-10-28,132.1,133.95,130.3,131.25,131.2,131.25,2166,1855422000.0,28483000,-1703000,130.7,0.4962,0.5500000000000114
2021-10-25,IOC,2021-10-28,132.05,132.3,128.55,130.65,130.8,130.65,3565,3029898000.0,22087000,-6396000,130.45,0.4019,0.20000000000001705
2021-10-26,IOC,2021-10-28,131.15,132.5,130.15,131.65,131.85,131.65,3148,2691932000.0,15424500,-6662500,131.5,0.5036,0.15000000000000568
2021-10-27,IOC,2021-10-28,131.7,133.1,130.3,130.75,130.9,130.75,2082,1782132000.0,10283000,-5141500,130.8,0.4983,-0.05000000000001137
