Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,M&M,2021-10-28,798.55,834.5,787.65,831.1,831.0,831.1,11688,6714859000.0,12653200,228200,827.85,0.4153,3.25
2021-10-04,M&M,2021-10-28,832.5,854.9,831.0,842.7,841.55,842.7,8210,4851852000.0,11837000,-816200,841.15,0.4954,1.5500000000000682
2021-10-05,M&M,2021-10-28,841.35,848.0,837.0,844.65,843.15,844.65,3627,2139202000.0,11764200,-72800,843.05,0.4554,1.6000000000000227
2021-10-06,M&M,2021-10-28,847.0,856.45,829.75,834.65,833.9,834.65,5841,3447565000.0,11459700,-304500,834.1,0.48610000000000003,0.5499999999999545
2021-10-07,M&M,2021-10-28,838.35,889.75,838.35,879.3,878.35,879.3,15450,9445212000.0,11169900,-289800,878.25,0.3566,1.0499999999999545
2021-10-08,M&M,2021-10-28,888.0,895.35,873.8,878.9,879.35,878.9,7586,4688687000.0,10648400,-521500,877.8,0.3882,1.1000000000000227
2021-10-11,M&M,2021-10-28,883.0,903.8,883.0,896.05,894.25,896.05,6416,4023515000.0,10257100,-391300,895.6,0.5307000000000001,0.4499999999999318
2021-10-12,M&M,2021-10-28,893.65,895.65,879.45,891.25,890.2,891.25,4437,2759924000.0,9992500,-264600,890.1,0.5454,1.1499999999999773
2021-10-13,M&M,2021-10-28,895.25,973.5,895.25,939.5,940.1,939.5,25505,16768638000.0,11293100,1300600,935.35,0.4147,4.149999999999977
2021-10-14,M&M,2021-10-28,951.9,951.9,925.65,934.75,936.05,934.75,7008,4580414000.0,10675700,-617400,931.4,0.4731,3.3500000000000227
2021-10-18,M&M,2021-10-28,948.8,953.85,912.5,914.4,914.9,914.4,6011,3897910000.0,9702700,-973000,910.95,0.4546,3.449999999999932
2021-10-19,M&M,2021-10-28,915.35,929.25,904.85,918.65,918.45,918.65,6788,4359357000.0,9286900,-415800,917.5,0.4908,1.1499999999999773
2021-10-20,M&M,2021-10-28,915.65,927.9,897.75,902.7,905.95,902.7,7355,4674955000.0,8427300,-859600,899.35,0.49479999999999996,3.3500000000000227
2021-10-21,M&M,2021-10-28,909.7,913.8,895.4,900.15,900.05,900.15,3612,2278458000.0,8121400,-305900,897.0,0.6308,3.1499999999999773
2021-10-22,M&M,2021-10-28,901.15,910.5,887.45,890.55,892.85,890.55,5829,3661567000.0,7152600,-968800,887.85,0.43920000000000003,2.699999999999932
2021-10-25,M&M,2021-10-28,885.55,905.1,882.45,891.35,892.4,891.35,6763,4237561000.0,5829600,-1323000,890.7,0.39909999999999995,0.6499999999999773
2021-10-26,M&M,2021-10-28,896.05,901.8,886.1,897.8,899.0,897.8,7592,4752387000.0,3763200,-2066400,894.55,0.6562,3.25
2021-10-27,M&M,2021-10-28,900.05,904.35,885.45,888.2,886.1,888.2,4716,2947486000.0,2277800,-1485400,886.8,0.7473000000000001,1.400000000000091
