Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,SHREECEM,2021-10-28,28826.55,29238.05,28600.15,29125.05,29044.05,29125.05,1770,1277439000.0,148475,5600,29099.55,0.4781,25.5
2021-10-04,SHREECEM,2021-10-28,29218.95,29356.75,28992.95,29320.0,29323.85,29320.0,685,500641000.0,147975,-500,29289.3,0.4951,30.700000000000728
2021-10-05,SHREECEM,2021-10-28,29320.0,29494.0,28705.55,28804.15,28794.65,28804.15,1319,954776000.0,150875,2900,28766.45,0.5281,37.70000000000073
2021-10-06,SHREECEM,2021-10-28,28804.55,28960.4,28101.75,28185.9,28190.0,28185.9,1632,1165067000.0,160800,9925,28109.75,0.41960000000000003,76.15000000000146
2021-10-07,SHREECEM,2021-10-28,28300.9,28481.15,28001.0,28190.0,28175.2,28190.0,2057,1452936000.0,168650,7850,28059.35,0.5977,130.65000000000146
2021-10-08,SHREECEM,2021-10-28,28186.0,28285.25,27850.0,27876.6,27889.0,27876.6,1105,773864000.0,174025,5375,27757.15,0.5389,119.44999999999709
2021-10-11,SHREECEM,2021-10-28,27899.15,28175.05,27730.05,28110.85,28035.55,28110.85,1413,990226000.0,172450,-1575,28022.45,0.4953,88.39999999999782
2021-10-12,SHREECEM,2021-10-28,28097.9,28119.6,27792.05,27840.95,27884.25,27840.95,887,618775000.0,172725,275,27705.8,0.5737,135.15000000000146
2021-10-13,SHREECEM,2021-10-28,28035.0,28344.25,27800.0,27937.7,28001.35,27937.7,1606,1125321000.0,177875,5150,27815.7,0.6262,122.0
2021-10-14,SHREECEM,2021-10-28,27974.25,28436.85,27974.25,28086.3,28146.9,28086.3,1675,1180825000.0,177175,-700,27956.45,0.508,129.84999999999854
2021-10-18,SHREECEM,2021-10-28,28200.0,28430.0,28000.0,28231.75,28230.0,28231.75,1349,951801000.0,177800,625,28191.3,0.5064,40.45000000000073
2021-10-19,SHREECEM,2021-10-28,28399.8,28431.0,27544.45,27707.65,27632.1,27707.65,1598,1114051000.0,173750,-4050,27696.8,0.444,10.850000000002183
2021-10-20,SHREECEM,2021-10-28,27749.9,28065.55,27259.3,27558.35,27674.95,27558.35,2118,1465676000.0,168300,-5450,27457.4,0.3665,100.94999999999709
2021-10-21,SHREECEM,2021-10-28,27576.1,27768.75,27264.1,27687.05,27744.1,27687.05,875,601773000.0,165550,-2750,27618.7,0.4839,68.34999999999854
2021-10-22,SHREECEM,2021-10-28,27826.05,28100.0,27283.25,27723.0,27650.0,27723.0,1384,958595000.0000001,156325,-9225,27738.2,0.4216,-15.200000000000728
2021-10-25,SHREECEM,2021-10-28,27631.9,27665.5,26789.75,27266.35,27311.65,27266.35,3161,2155936000.0,104650,-51675,27275.0,0.22460000000000002,-8.650000000001455
2021-10-26,SHREECEM,2021-10-28,27405.45,28036.9,27302.0,27871.35,27888.0,27871.35,2508,1741759999.9999998,65450,-39200,27777.9,0.43310000000000004,93.44999999999709
2021-10-27,SHREECEM,2021-10-28,27714.15,28496.8,27714.15,28141.0,28184.2,28141.0,1728,1219776000.0,42150,-23300,28107.75,0.5,33.25
