Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying,%delivery,coc
2021-10-01,TATAMOTORS,2021-10-28,332.3,338.9,326.0,334.65,334.3,334.65,16662,15797638000.0,95896800,-34200,333.3,0.16390000000000002,1.349999999999966
2021-10-04,TATAMOTORS,2021-10-28,337.45,345.0,336.25,343.2,343.2,343.2,12889,12565297000.0,96010800,114000,342.0,0.2791,1.1999999999999886
2021-10-05,TATAMOTORS,2021-10-28,340.7,353.35,339.35,346.65,346.75,346.65,15570,15454960000.0,97458600,1447800,344.95,0.2497,1.6999999999999886
2021-10-06,TATAMOTORS,2021-10-28,348.4,349.65,335.1,336.25,335.55,336.25,13326,12949421000.0,92331450,-5127150,336.05,0.3552,0.19999999999998863
2021-10-07,TATAMOTORS,2021-10-28,339.4,382.45,339.4,378.45,380.2,378.45,55641,58349789000.0,106712550,14381100,376.5,0.16890000000000002,1.9499999999999886
2021-10-08,TATAMOTORS,2021-10-28,382.05,398.0,380.2,383.9,383.45,383.9,31586,34879455000.0,94833750,-11878800,382.95,0.1746,0.9499999999999886
2021-10-11,TATAMOTORS,2021-10-28,388.05,422.7,388.0,417.6,419.25,417.6,39774,46655579000.0,103124400,8290650,415.75,0.1476,1.8500000000000227
2021-10-12,TATAMOTORS,2021-10-28,422.5,436.4,414.35,422.0,422.3,422.0,32170,38950301000.0,94414800,-8709600,420.85,0.1492,1.1499999999999773
2021-10-13,TATAMOTORS,2021-10-28,464.2,520.15,464.2,506.95,510.4,506.95,68381,97098717000.0,87694500,-6720300,506.9,0.2651,0.05000000000001137
2021-10-14,TATAMOTORS,2021-10-28,529.4,529.4,492.0,497.9,497.95,497.9,30249,43324263000.0,80418450,-7276050,497.6,0.19,0.2999999999999545
2021-10-18,TATAMOTORS,2021-10-28,504.8,525.5,504.05,510.3,510.8,510.3,27638,40605183000.0,76736250,-3682200,509.6,0.1827,0.6999999999999886
2021-10-19,TATAMOTORS,2021-10-28,511.7,516.9,477.85,483.55,486.0,483.55,22727,32203532000.0,72669300,-4066950,481.9,0.23600000000000002,1.650000000000034
2021-10-20,TATAMOTORS,2021-10-28,482.45,498.25,472.75,488.65,491.05,488.65,23035,31882061000.0,70571700,-2097600,486.9,0.1604,1.75
2021-10-21,TATAMOTORS,2021-10-28,494.8,511.35,486.1,509.4,510.5,509.4,24601,34979259000.0,69126750,-1444950,508.0,0.1613,1.3999999999999773
2021-10-22,TATAMOTORS,2021-10-28,509.9,510.9,486.8,490.85,489.5,490.85,18711,26467034000.000004,61086900,-8039850,490.9,0.1699,-0.049999999999954525
2021-10-25,TATAMOTORS,2021-10-28,508.5,508.5,473.45,480.75,479.9,480.75,15067,20673848000.0,50231250,-10855650,479.9,0.2045,0.8500000000000227
2021-10-26,TATAMOTORS,2021-10-28,484.3,511.35,483.05,509.5,509.35,509.5,24237,34628922000.0,34884000,-15347250,508.65,0.16260000000000002,0.8500000000000227
2021-10-27,TATAMOTORS,2021-10-28,504.9,505.55,495.4,497.45,496.0,497.45,17256,24595193000.0,15124950,-19759050,497.9,0.1991,-0.44999999999998863
